ct_shortname,prov,citycode,ctnm,centlon,centlat,locked_down,lockdown_date,bdidx_19m20,xc_lockdown,xc_closed,daySinceFirstCase,sub_prov_ct,gdp2018,自治州-盟-地区,in_291,pdensity,gdp_p,hospital_d,popHR18_all,Log_popHR18_all,gdp_per_10k,primary_ind,second_ind,third_ind,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,non_domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,inaug_time,birthmonth,is_female,age_feb20,party_age,work_age,tenure,majorchara,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,cumulative_case,ct_shortname,log_cumulative_case
七台河,黑龙江省,230900,七台河市,130.862488105,45.89689115109999,0,,3.8118,0.0,0.0,,0,1757953.0,False,True,133.42,2.65,0.1789,79.0,4.3694478524670215,22252.569620253165,8.79,41.54,49.66,31.47,27.0,1789.0,83.0,1.0,1.2048192771084338,4.660000000000005,50.76,44.58,2018-12,1965-1,0,55,34.0,32.0,1,2.0,1.0,1,0,0,1,17.0,七台河,2.833213344056216
三亚,海南省,460200,三亚市,109.418151568,18.3915943154,0,,2.9093000000000004,0.0,1.0,,0,5298048.0,False,True,301.93,6.3273,0.2219,59.0,4.07753744390572,89797.42372881355,12.39,19.98,67.63,32.74,11.0,2219.0,21.0,5.0,23.809523809523807,2.789999999999992,8.12,89.09,2018-11,1967-10,0,52,15.0,28.0,1,1.0,0.0,0,0,1,0,54.0,三亚,3.9889840465642745
三明,福建省,350400,三明市,117.395196122,26.299947419000002,0,,2.5189,0.0,0.0,,0,4532584.0,False,True,123.67,7.3261,0.5439,288.0,5.662960480135946,15738.138888888889,2.97,54.36,42.67,35.3,46.0,5439.0,1770.0,75.0,4.23728813559322,1.5399999999999991,35.39,63.07,2019-3,1962-12,0,57,35.0,38.0,0,1.0,0.0,1,0,1,0,14.0,三明,2.6390573296152584
三门峡,河南省,411200,三门峡市,111.10668223100001,34.362921654000004,0,,2.8705,0.0,1.0,,0,4316182.0,False,True,217.23,5.8894,0.5297,228.0,5.429345628954442,18930.622807017546,5.85,45.02,49.12,55.64,51.0,5297.0,501.0,14.0,2.7944111776447107,0.2999999999999972,50.95,48.75,2016-8,1963-10,0,56,34.0,32.0,3,1.0,0.0,1,0,0,1,7.0,三门峡,1.9459101490553132
上饶,江西省,361100,上饶市,117.46923933,28.7745571675,1,2020-02-06 00:00:00.000000000,4.0219000000000005,1.0,1.0,-12.0,0,6203743.0,False,True,339.61,2.6996,1.1101,783.0,6.663132695990803,7923.043422733077,4.8,41.95,53.24,32.02,147.0,11101.0,1303.0,34.0,2.609363008442057,1.2700000000000031,42.54,56.19,2016-4,1962-11,0,57,36.0,37.0,3,1.0,0.0,1,0,1,0,123.0,上饶,4.812184355372417
东莞,广东省,441900,东莞市,113.876317575,22.9354042681,0,,2.5214,0.0,1.0,,0,82785900.0,False,True,792.68,8.2682,1.7506,211.0,5.351858133476067,392350.2369668246,0.3,48.6,51.1,182.12,97.0,17506.0,7669.0,3139.0,40.93102099361064,0.010000000000001565,81.08,18.91,2018-3,1962-10,0,57,35.0,38.0,1,1.0,0.0,1,0,1,0,99.0,东莞,4.59511985013459
中卫,宁夏回族自治区,640500,中卫市,105.47407866,37.052688394,0,,2.9702,0.0,0.0,,0,1716928.0,False,True,68.78,2.9549,0.1866,122.0,4.804021044733257,14073.180327868853,13.52,38.66,47.82,30.69,28.0,1866.0,133.0,4.0,3.007518796992481,4.159999999999997,19.34,76.5,2017-6,1965-10,0,54,34.0,33.0,2,1.0,0.0,0,0,1,0,4.0,中卫,1.3862943611198906
中山,广东省,442000,中山市,113.389440541,22.522217315,0,,3.6549,1.0,1.0,,0,36327000.0,False,True,891.26,9.9471,0.8115,170.0,5.135798437050261,213688.23529411765,1.7,49.0,49.3,182.12,59.0,8115.0,3211.0,910.0,28.340080971659926,-3.552713678800501e-15,74.48,25.52,2019-10,1965-9,0,54,29.0,31.0,0,1.0,0.0,1,0,1,0,66.0,中山,4.189654742026425
临汾,山西省,141000,临汾市,111.37285012299999,36.2355485068,0,,3.4092,0.0,0.0,,0,2829721.0,False,True,212.58,2.7102,1.1043,433.0,6.07073772800249,6535.152424942265,2.88,21.86,75.26,31.47,189.0,11043.0,380.0,13.0,3.4210526315789487,0.9200000000000016,33.72,65.36,2020-1,1963-1,0,57,35.0,34.0,0,2.0,1.0,1,0,1,0,2.0,临汾,0.6931471805599453
临沂,山东省,371300,临沂市,118.27956636399999,35.3106121108,1,2020-02-04 00:00:00.000000000,3.3096000000000005,1.0,1.0,-11.0,0,18035241.0,False,True,653.83,3.8803,2.1287,1162.0,7.057897937411856,15520.861445783132,1.84,51.46,46.7,89.72,188.0,21287.0,4074.0,189.0,4.639175257731959,0.2399999999999949,49.81,49.95,2017-8,1962-10,0,57,36.0,34.0,2,2.0,1.0,1,0,1,0,49.0,临沂,3.8918202981106265
