,locked_on_date,bdidx_avgdiff_holiday,bdidx_avgdiff_date,popHR18_all,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
0,0,1.963124324324324,2.261794594594594,588.0,69.0,5320556.0,0.11734693877551021,43.58,42.02,0,57,8,36.14,0,1,0,0,29.0,9062.0,914.0,2.7352297592997807,2.9200000000000017,19.64,77.44,0.0,1,0,0,0,1,33.0,35.0
2,0,1.6011297297297276,1.6053675675675674,387.0,24.0,22256613.0,0.06201550387596899,57.5,39.98,0,60,7,37.35,0,1,0,0,65.0,10330.0,835.0,4.311377245508982,0.6899999999999977,56.85,42.46,0.0,0,1,0,0,0,31.0,42.0
3,0,1.8649351351351355,1.9506675675675669,534.0,32.0,8119388.0,0.0599250936329588,34.08,59.67,0,60,7,37.35,0,1,0,0,66.0,11614.0,646.0,4.643962848297214,1.0499999999999972,36.93,62.02,0.0,0,1,0,0,0,36.0,37.0
4,0,0.9872027027027012,1.3034216216216208,418.0,3.0,2872060.0,0.007177033492822967,50.3,39.52,0,58,6,37.35,0,1,0,0,34.0,6382.0,354.0,3.6723163841807906,1.1000000000000083,26.08,72.82,0.0,0,0,1,0,1,34.0,30.0
5,0,1.0397378378378384,1.137491891891894,253.0,4.0,1477545.0,0.015810276679841896,39.75,50.49,0,55,6,30.69,0,1,0,0,43.0,4215.0,159.0,4.402515723270441,0.8200000000000003,36.89,62.29,0.0,0,1,0,0,1,35.0,32.0
6,0,2.1305567567567567,2.2358621621621606,1051.0,32.0,13518281.0,0.030447193149381543,43.22,50.31,0,52,6,31.22,0,1,0,0,214.0,20836.0,1344.0,2.380952380952381,0.2700000000000031,37.15,62.58,0.0,0,1,0,0,1,29.0,33.0
7,0,1.1530513513513525,1.385648648648648,305.0,26.0,2909198.0,0.08524590163934426,43.51,47.98,0,56,6,43.47,0,0,1,0,48.0,8577.0,647.0,0.4636785162287481,0.1799999999999926,27.71,72.11,0.0,0,0,1,0,0,35.0,37.0
9,0,1.1090972972972968,1.2735081081081066,287.0,4.0,1093212.0,0.013937282229965157,13.57,71.21,0,53,6,31.0,0,0,1,0,290.0,3869.0,81.0,0.0,10.700000000000003,20.49,68.81,1.0,0,0,1,0,0,34.0,28.0
10,0,1.5732459459459456,1.6662729729729726,371.0,12.0,3697913.0,0.03234501347708895,40.14,53.56,0,56,6,31.0,0,0,1,0,49.0,5045.0,170.0,1.1764705882352942,2.3699999999999903,30.18,67.45,0.0,0,1,0,0,0,35.0,34.0
11,1,1.0363486486486484,1.1153486486486492,336.0,6.0,1936827.0,0.017857142857142856,30.65,61.88,0,55,5,60.3,0,0,1,0,80.0,7464.0,248.0,6.854838709677418,0.5,25.5,74.0,0.0,0,0,1,0,1,34.0,31.0
12,0,1.3222459459459452,1.6551027027027043,522.0,40.0,3456184.0,0.07662835249042145,19.88,77.49,0,57,5,35.3,1,0,0,0,398.0,11607.0,630.0,2.2222222222222223,0.4500000000000029,21.06,78.49,0.0,0,0,1,0,1,36.0,35.0
13,0,1.7223054054054057,1.9028675675675681,390.0,27.0,6293324.0,0.06923076923076923,45.17,48.07,0,58,5,36.14,0,1,0,0,72.0,6201.0,610.0,3.4426229508196724,1.8699999999999972,48.27,49.86,0.0,0,1,0,0,1,36.0,36.0
14,0,0.4906378378378378,0.8164864864864878,661.0,13.0,8096320.0,0.019667170953101363,47.4,44.67,0,57,4,30.69,0,1,0,0,113.0,9345.0,638.0,1.5673981191222568,0.24000000000000196,54.03,45.73,0.0,0,1,0,0,1,35.0,35.0
15,0,1.5685594594594583,1.5905081081081072,380.0,7.0,4045897.0,0.018421052631578946,45.97,53.03,0,56,4,31.22,0,1,0,0,79.0,9732.0,432.0,2.5462962962962963,1.1300000000000097,23.91,74.96,0.0,0,1,0,0,1,35.0,35.0
16,1,1.1964891891891891,1.1560702702702708,177.0,3.0,5135963.0,0.01694915254237288,54.36,42.45,0,56,4,60.3,0,0,1,0,62.0,4593.0,194.0,7.731958762886598,3.9600000000000013,48.32,47.72,0.0,0,1,0,0,1,33.0,45.0
17,0,1.4234702702702706,1.8646918918918929,556.0,8.0,4597731.0,0.014388489208633094,38.61,46.08,0,57,4,37.35,0,1,0,0,51.0,6589.0,500.0,6.6000000000000005,0.4750593824228986,22.565320665083103,76.959619952494,1.0,0,1,0,0,0,30.0,39.0
18,0,1.1176324324324312,1.5291567567567586,430.0,28.0,2565998.0,0.06511627906976744,22.91,54.46,0,57,4,37.35,0,1,0,0,34.0,6286.0,173.0,2.312138728323699,1.7699999999999958,20.73,77.5,0.0,0,1,0,0,0,34.0,36.0
19,0,1.5254459459459455,1.5990675675675663,191.0,1.0,1676260.0,0.005235602094240838,13.85,73.96,0,60,4,44.12,0,0,1,0,40.0,4687.0,349.0,4.584527220630372,9.689999999999998,19.41,70.9,1.0,0,1,0,0,1,35.0,36.0
20,0,1.9016540540540536,2.0326891891891896,148.0,9.0,2869916.0,0.060810810810810814,31.07,62.85,0,53,4,36.14,0,1,0,0,32.0,3398.0,528.0,3.0303030303030303,0.8900000000000006,30.45,68.66,0.0,0,1,0,0,0,33.0,29.0
21,0,2.7550702702702705,2.958578378378378,432.0,17.0,4387409.0,0.03935185185185185,45.47,50.45,0,57,4,55.64,0,0,1,0,61.0,7939.0,890.0,2.02247191011236,0.030000000000001137,57.83,42.14,0.0,0,1,0,0,1,33.0,35.0
22,0,1.5754189189189178,1.9081513513513508,534.0,39.0,6904667.0,0.07303370786516854,42.09,54.4,0,57,4,35.3,1,0,0,0,339.0,11028.0,1076.0,4.368029739776952,0.5300000000000011,37.21,62.26,0.0,1,0,0,0,1,32.0,36.0
23,0,1.9913432432432447,1.9964216216216224,468.0,17.0,7049152.0,0.03632478632478633,71.34,27.71,0,58,4,43.47,0,0,1,0,151.0,10820.0,727.0,4.264099037138927,0.3999999999999986,49.65,49.95,1.0,0,0,1,0,0,34.0,37.0
24,1,1.6638918918918906,2.137456756756757,431.0,72.0,3966520.0,0.16705336426914152,46.5,41.95,0,57,4,32.02,0,1,0,0,48.0,5528.0,994.0,4.728370221327968,0.730000000000004,51.33,47.94,0.0,0,1,0,0,1,35.0,38.0
25,0,1.7540729729729732,1.6571081081081085,206.0,15.0,10086748.0,0.07281553398058252,37.4,62.35,0,51,4,35.9,0,0,0,1,73.0,8522.0,270.0,4.814814814814816,0.3200000000000003,38.71,60.97,0.0,0,0,1,0,0,32.0,30.0
26,1,1.9360648648648648,1.8804027027027042,757.0,55.0,34107409.0,0.0726552179656539,40.15,53.66,0,58,4,37.35,0,1,0,0,115.0,23412.0,960.0,7.8125,0.9600000000000009,40.44,58.6,1.0,0,1,0,0,0,39.0,43.0
27,0,1.7551756756756776,1.7242243243243252,238.0,8.0,3825290.0,0.03361344537815126,43.17,51.27,0,57,4,43.47,0,0,1,0,63.0,5266.0,171.0,1.7543859649122806,0.7299999999999969,41.68,57.59,0.0,0,1,0,0,1,35.0,35.0
28,1,1.9023324324324304,2.1623567567567563,974.0,76.0,7665439.0,0.07802874743326489,43.71,49.75,0,57,4,32.02,0,1,0,0,85.0,14048.0,1800.0,11.333333333333332,0.8899999999999864,35.27,63.84,1.0,1,0,0,0,0,35.0,35.0
29,1,1.7116945945945932,1.4813216216216212,563.0,53.0,38896946.0,0.0941385435168739,38.71,59.95,0,58,4,30.69,0,1,0,0,308.0,27317.0,990.0,7.777777777777778,0.24000000000000196,41.05,58.71,1.0,0,0,1,0,0,37.0,36.0
30,1,1.9776486486486464,2.132529729729729,169.0,6.0,3854290.0,0.03550295857988166,44.54,54.06,0,56,4,32.02,0,1,0,0,31.0,3147.0,327.0,6.422018348623854,3.1899999999999977,45.92,50.89,0.0,0,1,0,0,1,34.0,37.0
31,0,1.2309459459459466,1.4548918918918927,250.0,0.0,1936177.0,0.0,47.77,37.48,0,56,4,37.35,0,1,0,0,30.0,3374.0,201.0,9.452736318407961,8.879999999999994,22.67,68.45,0.0,0,0,1,0,1,30.0,32.0
32,0,2.0272054054054056,1.8090945945945949,326.0,36.0,20965283.0,0.11042944785276074,32.59,66.84,0,53,3,31.0,0,0,1,0,127.0,13692.0,351.0,4.843304843304843,0.07000000000000027,42.07,57.86,0.0,0,1,0,0,0,30.0,30.0
33,0,1.3101432432432425,1.4760837837837837,270.0,3.0,2029988.0,0.011111111111111112,51.88,45.3,0,56,3,31.0,0,0,1,0,28.0,4149.0,107.0,0.9345794392523364,0.230000000000004,33.05,66.72,1.0,0,1,0,0,1,31.0,31.0
34,0,2.0236108108108115,1.9928108108108105,175.0,44.0,9651455.0,0.25142857142857145,62.12,27.8,0,57,3,37.35,0,1,0,0,25.0,3514.0,212.0,17.452830188679243,3.3999999999999986,35.53,61.07,0.0,0,0,1,0,0,33.0,35.0
35,0,1.55752972972973,1.8995189189189188,244.0,4.0,3141921.0,0.01639344262295082,40.79,42.78,0,56,3,37.35,0,1,0,0,28.0,3449.0,204.0,7.84313725490196,1.4699999999999989,16.84,81.69,0.0,0,1,0,0,1,34.0,34.0
