continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
北美洲,North America,美国,United States of America,美国,United States of America,971002,3302695,0,1006326,135176,2020-07-13 11:44:38,,,,,,,
南美洲,South America,巴西,Brazil,巴西,Brazil,973003,1866176,0,1213512,72151,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,印度,India,印度,India,953003,849553,0,534621,22674,2020-07-13 11:44:38,,,,,,,
北美洲,North America,墨西哥,Mexico,墨西哥,Mexico,971003,299750,0,184764,35006,2020-07-13 11:44:38,,,,,,,
南美洲,South America,秘鲁,Peru,秘鲁,Peru,973008,326326,0,242474,11870,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,菲律宾,Philippines,菲律宾,Philippines,952008,56259,0,16046,1534,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,964007,53521,0,26118,1383,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,阿曼,Oman,阿曼,Oman,955013,56015,0,36098,257,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,意大利,Italy,意大利,Italy,965008,243061,0,194928,34954,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,科威特,Kuwait,科威特,Kuwait,955011,54894,0,44610,390,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,955019,54854,0,45140,333,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,德国,Germany,德国,Germany,963003,198963,0,183549,9064,2020-07-13 11:44:38,,,,,,,
北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,972003,9391,0,4268,254,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,捷克,Czech Republic,捷克,Czech Republic,963002,13115,0,8227,352,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,965001,3454,0,1384,89,2020-07-13 11:44:38,,,,,,,
欧洲,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,964003,1173,0,464,30,2020-07-13 11:44:38,,,,,,,
亚洲,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,955005,1014,0,504,26,2020-07-13 11:44:38,,,,,,,
北美洲,North America,美国,United States of America,美国,United States of America,971002,3297501,0,1006326,135140,2020-07-13 10:01:57,,,,,,,
南美洲,South America,巴西,Brazil,巴西,Brazil,973003,1864681,0,1123204,72100,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,印度,India,印度,India,953003,849553,0,534621,22674,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,英国,United Kingdom,英国,United Kingdom,961007,289603,0,539,44819,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,俄罗斯,Russia,俄罗斯,Russia,964006,727162,0,501061,11335,2020-07-13 10:01:57,,,,,,,
非洲,Africa,南非,South Africa,南非,South Africa,984011,276242,0,134874,4079,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,953006,248872,0,153134,5197,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,953001,183795,0,93614,2352,2020-07-13 10:01:57,,,,,,,
南美洲,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,973005,150445,0,58800,5307,2020-07-13 10:01:57,,,,,,,
北美洲,North America,墨西哥,Mexico,墨西哥,Mexico,971003,295268,0,180852,34730,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,955016,232259,0,167138,2223,2020-07-13 10:01:57,,,,,,,
南美洲,South America,阿根廷,Argentina,阿根廷,Argentina,973001,100166,0,38300,1845,2020-07-13 10:01:57,,,,,,,
南美洲,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,973006,67209,0,5500,5031,2020-07-13 10:01:57,,,,,,,
非洲,Africa,埃及,Egypt,埃及,Egypt,981002,82070,0,24419,3858,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,952005,75699,0,35638,3606,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,比利时,Belgium,比利时,Belgium,961001,62606,0,17179,9782,2020-07-13 10:01:57,,,,,,,
南美洲,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,973002,45565,0,10358,1702,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,荷兰,Netherlands,荷兰,Netherlands,961006,50866,0,11886,6132,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,伊拉克,Iraq,伊拉克,Iraq,955008,77506,0,44724,3150,2020-07-13 10:01:57,,,,,,,
北美洲,North America,加拿大,Canada,加拿大,Canada,971001,107590,0,71266,8783,2020-07-13 10:01:57,,,,,,,
北美洲,North America,巴拿马,Panama,巴拿马,Panama,972007,43257,0,15370,863,2020-07-13 10:01:57,,,,,,,
南美洲,South America,智利,Chile,智利,Chile,973004,315041,0,281114,6979,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,964007,53521,0,26118,1383,2020-07-13 10:01:57,,,,,,,
北美洲,North America,多米尼加,Dominican Republic,多米尼加,Dominican Republic,974006,43114,0,16666,880,2020-07-13 10:01:57,,,,,,,
北美洲,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,972005,27053,0,1767,750,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,伊朗,Iran,伊朗,Iran,955007,257303,0,219993,12829,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,954001,58253,0,33814,352,2020-07-13 10:01:57,,,,,,,
北美洲,North America,危地马拉,Guatemala,危地马拉,Guatemala,972004,27619,0,3123,1139,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,阿曼,Oman,阿曼,Oman,955013,56015,0,36098,257,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,以色列,Israel,以色列,Israel,955009,38670,0,19300,362,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,葡萄牙,Portugal,葡萄牙,Portugal,965010,46512,0,26083,1660,2020-07-13 10:01:57,,,,,,,
非洲,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,982013,32558,0,13447,740,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,意大利,Italy,意大利,Italy,965008,243061,0,194928,34954,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,土耳其,Turkey,土耳其,Turkey,955018,212993,0,194515,5363,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,955001,34451,0,21216,1010,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,955002,31969,0,19633,565,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,科威特,Kuwait,科威特,Kuwait,955011,54894,0,44610,390,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,955019,54854,0,45140,333,2020-07-13 10:01:57,,,,,,,
北美洲,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,0,9366,0,0,167,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,波兰,Poland,波兰,Poland,963006,37891,0,27148,1571,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,罗马尼亚,Romania,罗马尼亚,Romania,965011,32535,0,21545,1884,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,964001,64932,0,55380,464,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,955003,24041,0,15093,306,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,尼泊尔,Nepal,尼泊尔,Nepal,953005,16801,0,8589,38,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,965013,22745,0,14338,473,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,954002,10629,0,3387,132,2020-07-13 10:01:57,,,,,,,
南美洲,South America,委内瑞拉,Venezuela,委内瑞拉,Venezuela,0,8803,0,1649,83,2020-07-13 10:01:57,,,,,,,
非洲,Africa,肯尼亚,Kenya,肯尼亚,Kenya,985005,10105,0,2881,185,2020-07-13 10:01:57,,,,,,,
非洲,Africa,科特迪瓦,Ivory Coast,科特迪瓦,Ivory Coast,982004,12052,0,5571,81,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,德国,Germany,德国,Germany,963003,198804,0,183549,9063,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,摩尔多瓦,Moldova,摩尔多瓦,Moldova,964005,19382,0,12667,641,2020-07-13 10:01:57,,,,,,,
南美洲,South America,法属圭亚那,French Guiana,法属圭亚那,French Guiana,0,5949,0,0,26,2020-07-13 10:01:57,,,,,,,
北美洲,North America,海地,Haiti,海地,Haiti,974008,6617,0,706,135,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,巴勒斯坦,Palestine,巴勒斯坦,Palestine,955014,6688,0,942,36,2020-07-13 10:01:57,,,,,,,
北美洲,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,972002,6845,0,1280,27,2020-07-13 10:01:57,,,,,,,
非洲,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,985004,7560,0,2430,127,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,954005,12706,0,7723,58,2020-07-13 10:01:57,,,,,,,
北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,972003,9391,0,4268,254,2020-07-13 10:01:57,,,,,,,
欧洲,Europe,捷克,Czech Republic,捷克,Czech Republic,963002,13115,0,8227,352,2020-07-13 10:01:57,,,,,,,
亚洲,Asia,巴林,Bahrain,巴林,Bahrain,955004,32470,0,27828,107,2020-07-13 10:01:57,,,,,,,
非洲,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,981001,19195,0,13743,1011,2020-07-13 10:01:57,,,,,,,
