,cityName,confirmedCount,suspectedCount,curedCount,deadCount,date,prov,locationId,currentConfirmedCount
0,昆明,3,0,0,0,2020-01-24,云南省,,
1,西双版纳,1,0,0,0,2020-01-24,云南省,,
2,丽江,1,0,0,0,2020-01-24,云南省,,
3,深圳,15,0,2,0,2020-01-24,广东省,,
4,珠海,8,0,0,0,2020-01-24,广东省,,
5,佛山,7,0,0,0,2020-01-24,广东省,,
6,广州,7,0,0,0,2020-01-24,广东省,,
7,惠州,5,0,0,0,2020-01-24,广东省,,
8,韶关,3,0,0,0,2020-01-24,广东省,,
9,阳江,3,0,0,0,2020-01-24,广东省,,
10,湛江,2,0,0,0,2020-01-24,广东省,,
11,中山,2,0,0,0,2020-01-24,广东省,,
12,肇庆,1,0,0,0,2020-01-24,广东省,,
13,清远,1,0,0,0,2020-01-24,广东省,,
14,台州,18,0,0,0,2020-01-24,浙江省,,
15,杭州,6,0,0,0,2020-01-24,浙江省,,
16,温州,6,0,1,0,2020-01-24,浙江省,,
17,宁波,5,0,0,0,2020-01-24,浙江省,,
18,嘉兴,3,0,0,0,2020-01-24,浙江省,,
19,衢州,2,0,0,0,2020-01-24,浙江省,,
20,舟山,1,0,0,0,2020-01-24,浙江省,,
21,绍兴,1,0,0,0,2020-01-24,浙江省,,
22,金华,1,0,0,0,2020-01-24,浙江省,,
23,长沙,8,0,0,0,2020-01-24,湖南省,,
24,永州,4,0,0,0,2020-01-24,湖南省,,
25,怀化,3,0,0,0,2020-01-24,湖南省,,
26,岳阳,3,0,0,0,2020-01-24,湖南省,,
27,娄底,3,0,0,0,2020-01-24,湖南省,,
28,郴州,1,0,0,0,2020-01-24,湖南省,,
29,株洲,1,0,0,0,2020-01-24,湖南省,,
30,湘潭,1,0,0,0,2020-01-24,湖南省,,
31,成都,7,0,0,0,2020-01-24,四川省,,
32,广安,2,0,0,0,2020-01-24,四川省,,
33,绵阳,2,0,0,0,2020-01-24,四川省,,
34,达州,1,0,0,0,2020-01-24,四川省,,
35,德阳,1,0,0,0,2020-01-24,四川省,,
36,遂宁,1,0,0,0,2020-01-24,四川省,,
37,雅安,1,0,0,0,2020-01-24,四川省,,
38,青岛,4,0,0,0,2020-01-24,山东省,,
39,威海,2,0,0,0,2020-01-24,山东省,,
40,临沂,2,0,0,0,2020-01-24,山东省,,
41,济南,2,0,0,0,2020-01-24,山东省,,
42,烟台,2,0,0,0,2020-01-24,山东省,,
43,潍坊,1,0,0,0,2020-01-24,山东省,,
44,日照,1,0,0,0,2020-01-24,山东省,,
45,济宁,1,0,0,0,2020-01-24,山东省,,
46,合肥,6,0,0,0,2020-01-24,安徽省,,
47,六安,2,0,0,0,2020-01-24,安徽省,,
48,阜阳,2,0,0,0,2020-01-24,安徽省,,
49,滁州,1,0,0,0,2020-01-24,安徽省,,
50,亳州,1,0,0,0,2020-01-24,安徽省,,
51,安庆,1,0,0,0,2020-01-24,安徽省,,
52,池州,1,0,0,0,2020-01-24,安徽省,,
53,蚌埠,1,0,0,0,2020-01-24,安徽省,,
54,北海,6,0,0,0,2020-01-24,广西壮族自治区,,
55,柳州,2,0,0,0,2020-01-24,广西壮族自治区,,
56,桂林,2,0,0,0,2020-01-24,广西壮族自治区,,
57,梧州,1,0,0,0,2020-01-24,广西壮族自治区,,
58,百色,1,0,0,0,2020-01-24,广西壮族自治区,,
59,河池,1,0,0,0,2020-01-24,广西壮族自治区,,
60,郑州,3,0,0,0,2020-01-24,河南省,,
61,巩义,2,0,0,0,2020-01-24,河南省,,
62,洛阳,1,0,0,0,2020-01-24,河南省,,
63,三门峡,1,0,0,0,2020-01-24,河南省,,
64,信阳,1,0,0,0,2020-01-24,河南省,,
65,周口,1,0,0,0,2020-01-24,河南省,,
66,南京,3,0,0,0,2020-01-24,江苏省,,
67,苏州,2,0,0,0,2020-01-24,江苏省,,
68,连云港,1,0,0,0,2020-01-24,江苏省,,
69,扬州,1,0,0,0,2020-01-24,江苏省,,
70,南通,1,0,0,0,2020-01-24,江苏省,,
71,无锡,1,0,0,0,2020-01-24,江苏省,,
72,海口,3,0,0,0,2020-01-24,海南省,,
73,三亚,2,0,0,0,2020-01-24,海南省,,
74,万宁,2,0,0,0,2020-01-24,海南省,,
75,临高,1,0,0,0,2020-01-24,海南省,,
76,南昌,2,0,0,0,2020-01-24,江西省,,
77,抚州,1,0,0,0,2020-01-24,江西省,,
78,萍乡,1,0,0,0,2020-01-24,江西省,,
79,九江,1,0,0,0,2020-01-24,江西省,,
80,新余,1,0,0,0,2020-01-24,江西省,,
81,吉安,1,0,0,0,2020-01-24,江西省,,
82,西安,2,0,0,0,2020-01-24,陕西省,,
83,咸阳,1,0,0,0,2020-01-24,陕西省,,
84,安康,1,0,0,0,2020-01-24,陕西省,,
85,延安,1,0,0,0,2020-01-24,陕西省,,
86,沈阳,2,0,0,0,2020-01-24,辽宁省,,
87,大连,1,0,0,0,2020-01-24,辽宁省,,
88,朝阳,1,0,0,0,2020-01-24,辽宁省,,
89,福州,5,0,0,0,2020-01-24,福建省,,
90,厦门,3,0,0,0,2020-01-24,福建省,,
91,泉州,1,0,0,0,2020-01-24,福建省,,
92,宁德,1,0,0,0,2020-01-24,福建省,,
93,漳州,0,1,0,0,2020-01-24,福建省,,
94,三明,0,1,0,0,2020-01-24,福建省,,
95,武汉,495,0,31,23,2020-01-24,湖北省,,
96,孝感,22,0,0,0,2020-01-24,湖北省,,
97,黄冈,12,0,0,0,2020-01-24,湖北省,,
98,荆州,8,0,0,0,2020-01-24,湖北省,,
99,荆门,8,0,0,0,2020-01-24,湖北省,,
100,仙桃,2,0,0,0,2020-01-24,湖北省,,
101,宜昌,1,0,0,1,2020-01-24,湖北省,,
102,十堰,1,0,0,0,2020-01-24,湖北省,,
103,石家庄,1,0,0,0,2020-01-24,河北省,,
104,沧州,1,0,0,1,2020-01-24,河北省,,
105,牡丹江,1,0,0,0,2020-01-24,黑龙江省,,
106,哈尔滨,1,0,0,0,2020-01-24,黑龙江省,,
107,大庆,1,0,0,0,2020-01-24,黑龙江省,,
108,绥化,1,0,0,1,2020-01-24,黑龙江省,,
109,银川,1,0,0,0,2020-01-24,宁夏回族自治区,,
110,中卫,1,0,0,0,2020-01-24,宁夏回族自治区,,
111,满洲里,1,0,0,0,2020-01-24,内蒙古自治区,,
112,长春,1,0,0,0,2020-01-24,吉林省,,
113,吉林,1,0,0,0,2020-01-24,吉林省,,
114,松原,1,0,0,0,2020-01-24,吉林省,,
115,贵阳,1,0,0,0,2020-01-24,贵州省,,
116,铜仁,1,0,0,0,2020-01-24,贵州省,,
117,黔南州,1,0,0,0,2020-01-24,贵州省,,
118,兰州,1,0,0,0,2020-01-24,甘肃省,,
119,白银,1,0,0,0,2020-01-24,甘肃省,,
120,太原,1,0,0,0,2020-01-24,山西省,,
121,武汉,572,0,32,38,2020-01-25,湖北省,,
122,黄冈,64,0,0,0,2020-01-25,湖北省,,
123,黄石,31,0,0,1,2020-01-25,湖北省,,
124,孝感,26,0,0,0,2020-01-25,湖北省,,
125,荆门,21,0,0,0,2020-01-25,湖北省,,
126,恩施州,11,0,0,0,2020-01-25,湖北省,,
127,荆州,10,0,0,0,2020-01-25,湖北省,,
128,仙桃,10,0,0,0,2020-01-25,湖北省,,
129,十堰,5,0,0,0,2020-01-25,湖北省,,
130,随州,5,0,0,0,2020-01-25,湖北省,,
131,天门,3,0,0,0,2020-01-25,湖北省,,
132,宜昌,1,0,0,1,2020-01-25,湖北省,,
133,鄂州,1,0,0,0,2020-01-25,湖北省,,
134,襄阳,1,0,0,0,2020-01-25,湖北省,,
135,西安,4,0,0,0,2020-01-25,陕西省,,
136,咸阳,3,0,0,0,2020-01-25,陕西省,,
137,安康,3,0,0,0,2020-01-25,陕西省,,
138,铜川,3,0,0,0,2020-01-25,陕西省,,
139,延安,1,0,0,0,2020-01-25,陕西省,,
140,商洛,1,0,0,0,2020-01-25,陕西省,,
141,锡林郭勒盟,2,0,0,0,2020-01-25,内蒙古自治区,,
142,鄂尔多斯,2,0,0,0,2020-01-25,内蒙古自治区,,
143,满洲里,1,0,0,0,2020-01-25,内蒙古自治区,,
144,赤峰,1,0,0,0,2020-01-25,内蒙古自治区,,
145,呼伦贝尔,1,0,0,0,2020-01-25,内蒙古自治区,,
146,三亚,6,0,0,0,2020-01-25,海南省,,
147,万宁,5,0,0,0,2020-01-25,海南省,,
148,海口,3,0,0,0,2020-01-25,海南省,,
149,儋州,3,0,0,0,2020-01-25,海南省,,
150,临高,1,0,0,0,2020-01-25,海南省,,
151,陵水,1,0,0,0,2020-01-25,海南省,,
152,沈阳,5,0,0,0,2020-01-25,辽宁省,,
153,大连,4,0,0,0,2020-01-25,辽宁省,,
154,朝阳,2,0,0,0,2020-01-25,辽宁省,,
155,铁岭,2,0,0,0,2020-01-25,辽宁省,,
156,葫芦岛,2,0,0,0,2020-01-25,辽宁省,,
157,本溪,1,0,0,0,2020-01-25,辽宁省,,
158,昆明,4,0,0,0,2020-01-25,云南省,,
159,丽江,2,0,0,0,2020-01-25,云南省,,
160,西双版纳,1,0,0,0,2020-01-25,云南省,,
161,曲靖,1,0,0,0,2020-01-25,云南省,,
162,玉溪,1,0,0,0,2020-01-25,云南省,,
163,红河州,1,0,0,0,2020-01-25,云南省,,
164,大理,1,0,0,0,2020-01-25,云南省,,
165,兰州,2,0,0,0,2020-01-25,甘肃省,,
166,白银,1,0,0,0,2020-01-25,甘肃省,,
167,临夏,1,0,0,0,2020-01-25,甘肃省,,
168,西宁,1,0,0,0,2020-01-25,青海省,,
169,福州,6,0,0,0,2020-01-25,福建省,,
170,厦门,3,0,0,0,2020-01-25,福建省,,
171,泉州,3,0,0,0,2020-01-25,福建省,,
172,漳州,3,0,0,0,2020-01-25,福建省,,
173,宁德,2,0,0,0,2020-01-25,福建省,,
174,三明,1,0,0,0,2020-01-25,福建省,,
175,青岛,6,0,0,0,2020-01-25,山东省,,
176,威海,3,0,0,0,2020-01-25,山东省,,
177,临沂,3,0,0,0,2020-01-25,山东省,,
178,日照,3,0,0,0,2020-01-25,山东省,,
179,济南,3,0,0,0,2020-01-25,山东省,,
180,烟台,2,0,0,0,2020-01-25,山东省,,
181,济宁,2,0,0,0,2020-01-25,山东省,,
182,潍坊,1,0,0,0,2020-01-25,山东省,,
183,德州,1,0,0,0,2020-01-25,山东省,,
184,聊城,1,0,0,0,2020-01-25,山东省,,
185,滨州,1,0,0,0,2020-01-25,山东省,,
186,菏泽,1,0,0,0,2020-01-25,山东省,,
187,成都,16,0,0,0,2020-01-25,四川省,,
188,广安,2,0,0,0,2020-01-25,四川省,,
189,绵阳,2,0,0,0,2020-01-25,四川省,,
190,遂宁,2,0,0,0,2020-01-25,四川省,,
191,达州,1,0,0,0,2020-01-25,四川省,,
192,德阳,1,0,0,0,2020-01-25,四川省,,
193,雅安,1,0,0,0,2020-01-25,四川省,,
194,自贡,1,0,0,0,2020-01-25,四川省,,
195,泸州,1,0,0,0,2020-01-25,四川省,,
196,内江,1,0,0,0,2020-01-25,四川省,,
197,银川,1,0,0,0,2020-01-25,宁夏回族自治区,,
198,中卫,1,0,0,0,2020-01-25,宁夏回族自治区,,
199,固原,1,0,0,0,2020-01-25,宁夏回族自治区,,
200,乌鲁木齐,3,0,0,0,2020-01-25,新疆维吾尔自治区,,
201,常州,5,0,0,0,2020-01-25,江苏省,,
202,南京,4,0,0,0,2020-01-25,江苏省,,
203,苏州,3,0,1,0,2020-01-25,江苏省,,
204,连云港,1,0,0,0,2020-01-25,江苏省,,
205,扬州,1,0,0,0,2020-01-25,江苏省,,
206,南通,1,0,0,0,2020-01-25,江苏省,,
