cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
昆明,云南省,3,4,4,7,12,15,21,25,30,31,32,34,35,40,41,41,42,45,46,46,48,48,48,51,51,52,53,53,53,53,53,53,53,53,53,53,53
西双版纳,云南省,1,1,1,1,6,10,10,12,12,12,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
丽江,云南省,1,2,2,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
深圳,广东省,15,20,31,36,57,80,98,134,170,207,245,271,291,316,339,354,366,369,375,386,391,400,406,414,415,416,416,416,416,417,417,417,417,417,417,417,417
珠海,广东省,8,10,12,12,12,18,26,34,38,47,55,64,72,73,76,83,83,85,86,87,89,91,95,96,97,98,98,98,98,98,98,98,98,98,98,98,98
佛山,广东省,7,9,10,14,18,21,25,33,39,43,45,49,50,57,59,64,67,70,70,78,81,82,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
广州,广东省,7,14,17,41,51,63,94,112,150,179,200,224,249,270,285,301,307,314,317,323,327,328,335,338,339,339,339,339,339,343,345,345,346,346,346,346,346
惠州,广东省,5,7,8,8,11,12,17,20,20,23,28,29,34,35,39,47,48,52,53,54,55,56,58,58,58,59,62,62,62,62,62,62,62,62,62,62,62
韶关,广东省,3,3,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
阳江,广东省,3,5,8,8,9,10,10,10,10,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14
湛江,广东省,2,2,4,5,7,9,11,11,13,14,14,18,18,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
中山,广东省,2,2,2,5,6,13,18,18,18,21,25,31,36,44,46,46,51,56,58,62,64,64,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66
肇庆,广东省,1,2,4,4,4,5,5,6,6,7,10,10,13,14,14,14,14,15,15,16,16,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19
清远,广东省,1,2,3,3,6,6,6,6,6,6,7,8,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
台州,浙江省,18,20,21,22,22,40,64,81,95,100,109,115,122,124,129,133,138,141,143,143,144,144,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146
杭州,浙江省,6,12,27,27,32,51,69,85,98,110,118,132,141,151,156,162,165,155,157,159,162,165,166,166,168,168,169,169,169,169,169,169,169,169,169,169,169
温州,浙江省,6,10,18,32,60,114,172,227,241,265,291,340,364,396,421,438,448,464,474,481,490,496,499,502,503,504,504,504,504,504,504,504,504,504,504,504,504
宁波,浙江省,5,6,13,13,17,20,41,46,55,66,75,102,120,126,136,141,146,149,151,153,153,153,154,155,156,156,156,156,157,157,157,157,157,157,157,157,157
嘉兴,浙江省,3,4,8,8,11,14,16,16,18,19,19,23,27,30,35,37,38,40,40,42,42,42,43,43,43,43,44,45,45,45,45,45,45,45,45,45,45
衢州,浙江省,2,2,3,5,5,8,10,12,13,13,14,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14
舟山,浙江省,1,2,2,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
绍兴,浙江省,1,4,5,6,7,19,19,23,24,27,30,30,30,33,34,36,38,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
金华,浙江省,1,2,3,5,7,13,20,27,34,34,36,40,44,47,48,52,53,53,53,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
长沙,湖南省,8,8,18,22,24,46,57,68,86,112,125,148,164,179,190,196,205,213,219,223,228,238,241,241,241,241,241,242,242,242,242,242,242,242,242,242,242
永州,湖南省,4,4,4,4,7,11,14,16,18,22,26,26,30,32,38,40,40,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44
怀化,湖南省,3,5,8,11,16,18,23,26,28,31,32,35,35,36,38,38,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
岳阳,湖南省,3,5,6,7,17,26,29,37,45,53,70,83,89,93,107,111,115,124,134,146,148,149,153,154,154,155,155,156,156,156,156,156,156,156,156,156,156
娄底,湖南省,3,5,5,7,9,13,16,20,26,29,35,40,45,51,53,59,64,66,69,69,72,73,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76
郴州,湖南省,1,1,3,6,7,7,10,12,13,18,21,22,24,25,29,31,32,32,33,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
株洲,湖南省,1,1,3,5,7,13,18,19,22,25,26,34,38,41,46,48,58,61,68,71,75,77,78,78,78,78,78,78,78,79,80,80,80,80,80,80,80
湘潭,湖南省,1,2,3,4,6,8,9,10,13,16,19,21,23,24,25,28,28,31,32,32,32,34,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36
成都,四川省,7,16,22,33,37,46,59,69,72,73,77,87,92,97,102,109,120,123,124,125,131,135,139,140,140,140,141,141,143,143,143,143,143,143,143,143,143
广安,四川省,2,2,2,6,7,7,9,13,16,20,21,24,24,24,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
绵阳,四川省,2,2,5,7,8,8,9,11,12,14,17,17,17,18,19,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
达州,四川省,1,1,1,3,3,4,6,8,9,9,11,13,17,20,23,25,25,28,30,33,36,36,36,36,38,39,40,40,41,41,41,41,42,42,42,42,42
德阳,四川省,1,1,1,1,1,2,3,7,7,10,10,12,12,12,12,13,16,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18
遂宁,四川省,1,2,2,2,3,3,4,5,5,5,5,5,5,5,5,6,8,10,10,10,10,10,10,12,17,17,17,17,17,17,17,17,17,17,17,17,17
雅安,四川省,1,1,1,1,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
青岛,山东省,4,6,8,13,15,17,21,21,21,24,26,32,35,41,44,46,49,53,53,53,53,55,56,57,57,58,59,59,59,59,59,60,60,60,60,60,60
威海,山东省,2,3,4,9,10,12,14,19,24,24,25,25,27,29,31,33,34,35,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
临沂,山东省,2,3,7,7,8,16,16,23,23,24,25,28,30,32,35,40,40,42,44,45,45,47,47,47,47,48,48,49,49,49,49,49,49,49,49,49,49
济南,山东省,2,3,5,7,10,11,14,16,18,19,22,25,29,34,41,42,43,44,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
