provinceName,provinceShortName,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
云南省,云南,5.0,11.0,16.0,26.0,44.0,55,70,83,93,105,114,119,124,133,136,138,141,149,153,154,156,162,168,171,171,172,173,173,174,174,174,174,174,174,174,174,174
广东省,广东,53.0,78.0,111.0,151.0,207.0,277,354,436,535,632,725,813,895,970,1034,1095,1131,1159,1177,1219,1241,1261,1294,1316,1322,1328,1331,1332,1333,1339,1342,1345,1347,1347,1347,1348,1349
浙江省,浙江,43.0,62.0,104.0,128.0,173.0,296,428,538,599,661,724,829,895,954,1006,1048,1075,1092,1117,1131,1145,1155,1162,1167,1171,1172,1174,1175,1203,1205,1205,1205,1205,1205,1205,1205,1205
北京市,北京,36.0,41.0,68.0,80.0,91.0,102,114,139,168,191,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,399,400,400,410,410,411
重庆市,重庆,27.0,57.0,75.0,110.0,132.0,147,182,211,247,275,312,344,376,400,415,428,450,473,489,509,525,532,538,547,552,553,555,560,567,572,573,575,576,576,576,576,576
湖南省,湖南,24.0,43.0,69.0,100.0,143.0,221,277,332,389,463,521,593,661,711,772,803,838,879,912,946,968,988,1001,1004,1006,1007,1008,1010,1011,1013,1016,1016,1016,1016,1017,1017,1018
四川省,四川,15.0,28.0,44.0,69.0,90.0,108,142,177,207,231,254,282,301,321,344,364,386,405,417,436,451,463,470,481,495,508,514,520,525,526,526,527,529,531,534,538,538
山东省,山东,15.0,27.0,46.0,75.0,95.0,130,158,184,206,230,259,275,307,347,386,416,444,466,487,497,509,523,532,537,541,543,544,546,749,750,754,755,756,756,756,756,756
安徽省,安徽,15.0,39.0,60.0,70.0,106.0,152,200,237,297,340,408,480,530,591,665,733,779,830,860,889,910,934,950,962,973,982,986,987,988,989,989,989,989,989,989,990,990
广西壮族自治区,广西,13.0,23.0,36.0,46.0,51.0,58,78,87,100,111,127,139,150,168,172,183,195,210,215,222,222,226,235,237,238,242,244,245,246,249,249,251,252,252,252,252,252
河南省,河南,9.0,32.0,83.0,128.0,168.0,206,278,352,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169,1184,1212,1231,1246,1257,1262,1265,1267,1270,1271,1271,1271,1271,1272,1272,1272
江苏省,江苏,9.0,18.0,33.0,47.0,70.0,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570,593,604,617,626,629,631,631,631,631,631,631,631,631,631,631,631
海南省,海南,8.0,19.0,22.0,33.0,40.0,43,46,52,62,64,72,80,91,106,117,124,131,138,144,157,157,159,162,162,163,163,163,168,168,168,168,168,168,168,168,168,168
江西省,江西,7.0,18.0,36.0,48.0,72.0,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872,900,913,925,930,933,934,934,934,934,934,934,934,934,934,935,935
