ct_shortname,prov,Date,value
北京,,0,2.7669000000000006
天津,,0,1.8803
上海,,0,2.9714
重庆,,0,0.4245000000000001
合肥,安徽省,0,1.7071999999999998
安庆,安徽省,0,-0.35680000000000067
蚌埠,安徽省,0,0.05350000000000055
亳州,安徽省,0,-0.020899999999999253
池州,安徽省,0,-0.07270000000000021
滁州,安徽省,0,-0.3081000000000005
阜阳,安徽省,0,-0.133
淮北,安徽省,0,0.11690000000000023
黄山,安徽省,0,0.34250000000000025
六安,安徽省,0,-0.8273999999999999
马鞍山,安徽省,0,0.20319999999999983
宿州,安徽省,0,-0.36939999999999973
铜陵,安徽省,0,-0.4108999999999998
芜湖,安徽省,0,0.6307
宣城,安徽省,0,-0.20209999999999972
淮南,安徽省,0,-0.7298
福州,福建省,0,1.7188999999999997
龙岩,福建省,0,0.7172000000000001
南平,福建省,0,0.16439999999999966
宁德,福建省,0,0.36839999999999984
莆田,福建省,0,0.5099
泉州,福建省,0,1.2534999999999998
三明,福建省,0,-0.0367999999999995
厦门,福建省,0,2.8246
漳州,福建省,0,0.4933999999999994
广州,广东省,0,2.4091
潮州,广东省,0,0.8331
东莞,广东省,0,2.303
佛山,广东省,0,2.4885
河源,广东省,0,0.24739999999999984
惠州,广东省,0,1.6806999999999999
江门,广东省,0,1.6241999999999996
揭阳,广东省,0,0.043299999999999894
茂名,广东省,0,-0.3346999999999998
梅州,广东省,0,-0.4207000000000001
清远,广东省,0,0.5411000000000001
汕头,广东省,0,0.9828999999999999
汕尾,广东省,0,-0.10179999999999989
韶关,广东省,0,0.30900000000000016
深圳,广东省,0,2.9318
阳江,广东省,0,0.6268000000000002
云浮,广东省,0,0.1253000000000002
湛江,广东省,0,-0.33389999999999986
肇庆,广东省,0,0.6689000000000003
中山,广东省,0,2.5582000000000003
珠海,广东省,0,2.2118
南宁,广西壮族自治区,0,1.7393999999999998
百色,广西壮族自治区,0,0.7166999999999994
北海,广西壮族自治区,0,0.718
崇左,广西壮族自治区,0,0.22409999999999997
防城港,广西壮族自治区,0,0.7689999999999997
桂林,广西壮族自治区,0,0.9515000000000002
贵港,广西壮族自治区,0,-0.2815000000000003
河池,广西壮族自治区,0,-0.4356
贺州,广西壮族自治区,0,0.8613
来宾,广西壮族自治区,0,-0.3985000000000003
柳州,广西壮族自治区,0,1.5167000000000002
钦州,广西壮族自治区,0,-0.5286999999999997
梧州,广西壮族自治区,0,0.23359999999999914
玉林,广西壮族自治区,0,0.03470000000000084
贵阳,贵州省,0,1.5880999999999998
安顺,贵州省,0,0.8295000000000003
毕节,贵州省,0,-0.8408999999999995
六盘水,贵州省,0,0.1896999999999993
铜仁,贵州省,0,-0.21229999999999993
遵义,贵州省,0,-0.42079999999999984
兰州,甘肃省,0,1.5268000000000002
白银,甘肃省,0,0.24139999999999961
定西,甘肃省,0,0.6063999999999998
甘南州,,0,1.3611
嘉峪关,甘肃省,0,0.5865999999999998
金昌,甘肃省,0,0.05069999999999997
酒泉,甘肃省,0,0.31289999999999996
临夏州,,0,0.46009999999999973
陇南,甘肃省,0,0.44090000000000007
平凉,甘肃省,0,0.5226000000000002
庆阳,甘肃省,0,0.49299999999999944
天水,甘肃省,0,0.6740999999999997
武威,甘肃省,0,0.12670000000000048
张掖,甘肃省,0,0.13710000000000022
海口,海南省,0,2.2224
白沙黎族自治县,,0,-0.4394999999999998
保亭黎族苗族自治县,,0,-0.5125000000000002
昌江黎族自治县,,0,0.25150000000000006
儋州,海南省,0,0.4740000000000002
澄迈,,0,-1.2367999999999997
东方,,0,-0.2690999999999999
定安,,0,-1.6703999999999999
琼海,,0,0.21220000000000017
琼中黎族苗族自治县,,0,0.4703999999999997
乐东黎族自治县,,0,-1.2467000000000006
临高,,0,-1.3460999999999999
陵水黎族自治县,,0,-0.1437999999999997
三亚,海南省,0,-0.15369999999999973
屯昌,,0,-0.7801999999999998
万宁,,0,-1.0110000000000001
文昌,,0,-1.0358
五指山,,0,0.09580000000000011
郑州,河南省,0,2.6723000000000003
安阳,河南省,0,0.8606999999999996
鹤壁,河南省,0,0.9486999999999997
焦作,河南省,0,1.2156000000000002
开封,河南省,0,0.03190000000000026
洛阳,河南省,0,1.0566
漯河,河南省,0,0.7675999999999998
南阳,河南省,0,0.5817000000000005
平顶山,河南省,0,0.6806999999999999
濮阳,河南省,0,0.5285000000000002
三门峡,河南省,0,0.7709000000000001
商丘,河南省,0,-0.42220000000000013
新乡,河南省,0,1.0730999999999993
信阳,河南省,0,-0.5609000000000002
许昌,河南省,0,0.8132000000000001
周口,河南省,0,-0.2535000000000007
驻马店,河南省,0,0.4588000000000001
济源,,0,1.3487
哈尔滨,黑龙江省,0,1.1849999999999996
大庆,黑龙江省,0,0.6683000000000003
大兴安岭,,0,3.5637999999999996
鹤岗,黑龙江省,0,-0.37349999999999994
黑河,黑龙江省,0,0.07709999999999972
鸡西,黑龙江省,0,0.4382999999999999
佳木斯,黑龙江省,0,0.4276
牡丹江,黑龙江省,0,0.2290000000000001
七台河,黑龙江省,0,0.22960000000000047
齐齐哈尔,黑龙江省,0,0.1921999999999997
双鸭山,黑龙江省,0,0.1838999999999995
绥化,黑龙江省,0,0.3971999999999998
伊春,黑龙江省,0,-0.3492000000000002
武汉,湖北省,0,3.0063
鄂州,湖北省,0,0.8059000000000003
恩施,,0,0.1958000000000002
黄冈,湖北省,0,0.133
黄石,湖北省,0,0.7082999999999995
荆门,湖北省,0,0.5064000000000002
荆州,湖北省,0,0.47190000000000065
潜江,,0,0.6216999999999997
神农架,,0,1.0856999999999997
十堰,湖北省,0,1.0802
随州,湖北省,0,-0.15340000000000042
天门,,0,0.6848999999999998
仙桃,,0,0.6939000000000002
咸宁,湖北省,0,0.4267000000000003
襄阳,湖北省,0,0.7801
孝感,湖北省,0,-0.0506000000000002
宜昌,湖北省,0,1.1793000000000005
长沙,湖南省,0,1.9701
常德,湖南省,0,0.06630000000000003
郴州,湖南省,0,0.0934999999999997
衡阳,湖南省,0,0.13250000000000028
怀化,湖南省,0,0.4196
娄底,湖南省,0,-0.2145999999999999
邵阳,湖南省,0,-0.2159999999999993
湘潭,湖南省,0,-0.3756000000000004
湘西州,,0,0.6339999999999995
益阳,湖南省,0,-0.6223000000000001
永州,湖南省,0,-0.4845999999999995
岳阳,湖南省,0,0.1869999999999994
张家界,湖南省,0,0.7778999999999998
株洲,湖南省,0,0.8930999999999996
石家庄,河北省,0,1.7944000000000004
保定,河北省,0,0.8948
沧州,河北省,0,1.6488
承德,河北省,0,0.5264000000000006
邯郸,河北省,0,0.6393000000000004
衡水,河北省,0,0.7439
廊坊,河北省,0,1.3859
秦皇岛,河北省,0,0.6372000000000004
唐山,河北省,0,0.6673
邢台,河北省,0,1.0798999999999999
张家口,河北省,0,-0.3323999999999998
南京,江苏省,0,2.4750000000000005
常州,江苏省,0,2.2854
淮安,江苏省,0,-0.03880000000000017
连云港,江苏省,0,0.2535999999999996
南通,江苏省,0,0.8331999999999997
苏州,江苏省,0,3.3749
宿迁,江苏省,0,0.07319999999999993
泰州,江苏省,0,0.5398999999999994
无锡,江苏省,0,2.4935
徐州,江苏省,0,0.35799999999999965
盐城,江苏省,0,-0.30400000000000027
扬州,江苏省,0,1.2729999999999997
镇江,江苏省,0,1.3045000000000004
南昌,江西省,0,1.1261000000000005
抚州,江西省,0,-0.7931999999999997
赣州,江西省,0,0.5830000000000002
吉安,江西省,0,0.2975000000000003
景德镇,江西省,0,0.9903000000000004
九江,江西省,0,0.20489999999999942
萍乡,江西省,0,0.36540000000000017
上饶,江西省,0,-0.10989999999999966
新余,江西省,0,0.40200000000000014
宜春,江西省,0,-0.39119999999999955
鹰潭,江西省,0,0.2806999999999995
长春,吉林省,0,1.6691000000000003
白城,吉林省,0,0.22580000000000044
白山,吉林省,0,0.1708999999999996
吉林,吉林省,0,0.2808999999999999
辽源,吉林省,0,0.5567000000000002
四平,吉林省,0,0.49849999999999994
松原,吉林省,0,0.6089000000000002
通化,吉林省,0,0.7232000000000003
延边,,0,0.3039000000000005
沈阳,辽宁省,0,1.8918
鞍山,辽宁省,0,0.7468000000000004
本溪,辽宁省,0,0.7146999999999997
朝阳,辽宁省,0,0.5823
大连,辽宁省,0,1.8770999999999995
丹东,辽宁省,0,0.9055999999999997
抚顺,辽宁省,0,0.2726000000000006
阜新,辽宁省,0,-0.11519999999999975
葫芦岛,辽宁省,0,0.17759999999999998
锦州,辽宁省,0,-0.07709999999999972
辽阳,辽宁省,0,0.7241
盘锦,辽宁省,0,0.5480999999999998
铁岭,辽宁省,0,0.3400999999999996
营口,辽宁省,0,1.1655999999999995
银川,宁夏回族自治区,0,1.2678999999999996
固原,宁夏回族自治区,0,0.5138000000000007
石嘴山,宁夏回族自治区,0,-0.4079000000000006
吴忠,宁夏回族自治区,0,-0.2466999999999997
中卫,宁夏回族自治区,0,-0.08939999999999948
呼和浩特,内蒙古自治区,0,1.2683
阿拉善盟,内蒙古自治区,0,0.7898999999999998
包头,内蒙古自治区,0,0.3418000000000001
巴彦淖尔,内蒙古自治区,0,0.01470000000000038
赤峰,内蒙古自治区,0,1.0837000000000003
鄂尔多斯,内蒙古自治区,0,1.0991
呼伦贝尔,内蒙古自治区,0,0.15739999999999998
通辽,内蒙古自治区,0,1.0175
乌海,内蒙古自治区,0,0.4488000000000003
乌兰察布,内蒙古自治区,0,-0.37599999999999945
锡林郭勒盟,内蒙古自治区,0,0.6676000000000002
兴安盟,内蒙古自治区,0,0.8985000000000003
西宁,青海省,0,0.8205999999999998
果洛州,,0,0.8461999999999996
海东,青海省,0,-0.03169999999999984
海北州,,0,0.6325000000000003
海南州,,0,0.9654000000000003
海西州,,0,1.1112000000000002
黄南州,,0,1.4130000000000003
玉树州,,0,0.16659999999999986
济南,山东省,0,2.0899
滨州,山东省,0,0.9821999999999997
东营,山东省,0,1.0549
德州,山东省,0,0.6880999999999995
菏泽,山东省,0,0.5175000000000001
济宁,山东省,0,0.8674
聊城,山东省,0,0.5261999999999993
临沂,山东省,0,0.8014000000000001
青岛,山东省,0,2.4103000000000003
日照,山东省,0,1.0147
泰安,山东省,0,0.47940000000000005
威海,山东省,0,1.4238
潍坊,山东省,0,1.4421999999999997
烟台,山东省,0,1.4929000000000001
枣庄,山东省,0,0.2530000000000001
淄博,山东省,0,1.1898
太原,山西省,0,1.9765000000000001
长治,山西省,0,0.8976000000000006
大同,山西省,0,0.21889999999999965
晋城,山西省,0,1.2759
晋中,山西省,0,0.9428999999999998
临汾,山西省,0,0.9666000000000001
吕梁,山西省,0,0.49049999999999994
朔州,山西省,0,0.4817
忻州,山西省,0,0.6359000000000004
阳泉,山西省,0,0.7903000000000002
运城,山西省,0,0.6264000000000003
西安,陕西省,0,1.9730000000000003
安康,陕西省,0,-0.274
宝鸡,陕西省,0,0.5544000000000002
汉中,陕西省,0,-0.03359999999999985
商洛,陕西省,0,-0.5794999999999995
铜川,陕西省,0,0.4129999999999998
渭南,陕西省,0,-0.2170999999999994
咸阳,陕西省,0,0.1504000000000003
延安,陕西省,0,0.7817000000000003
榆林,陕西省,0,0.6701000000000006
成都,四川省,0,2.1537999999999995
阿坝州,,0,0.6791
巴中,四川省,0,-1.2264
达州,四川省,0,-1.3645000000000005
德阳,四川省,0,0.13980000000000015
甘孜州,,0,0.6368
广安,四川省,0,-1.9383
广元,四川省,0,-0.6558999999999999
乐山,四川省,0,-0.44759999999999955
凉山州,,0,-0.05339999999999989
泸州,四川省,0,-0.7563999999999993
南充,四川省,0,-1.4173
眉山,四川省,0,-0.5094000000000003
绵阳,四川省,0,0.37900000000000045
内江,四川省,0,-1.4159999999999995
攀枝花,四川省,0,0.3841000000000001
遂宁,四川省,0,-1.6703000000000001
雅安,四川省,0,-0.3550000000000004
宜宾,四川省,0,-0.6356999999999999
资阳,四川省,0,-1.7934999999999999
自贡,四川省,0,-0.5731000000000002
拉萨,西藏自治区,0,0.5415999999999999
阿里,,0,0.5095000000000001
昌都,西藏自治区,0,0.2656999999999998
林芝,西藏自治区,0,0.2496999999999998
那曲,,0,0.5475000000000003
日喀则,西藏自治区,0,-0.32399999999999984
山南,西藏自治区,0,0.28880000000000017
乌鲁木齐,新疆维吾尔自治区,0,1.1549
阿拉尔,,0,0.5629
阿克苏,,0,0.47330000000000005
阿勒泰,,0,0.33709999999999996
巴音郭楞蒙古自治州,新疆维吾尔自治区,0,0.4592999999999998
博尔塔拉州,,0,0.1253000000000002
昌吉州,,0,0.22049999999999992
哈密,新疆维吾尔自治区,0,0.28969999999999985
和田,,0,0.08620000000000072
喀什,,0,-0.013700000000000045
克拉玛依,新疆维吾尔自治区,0,0.4148000000000005
克孜勒苏州,,0,-0.030300000000000438
石河子,,0,0.4754999999999998
塔城,,0,-0.017999999999999794
图木舒克,,0,0.42430000000000057
吐鲁番,新疆维吾尔自治区,0,0.6695999999999995
五家渠,,0,0.1966000000000001
伊犁州,,0,0.14860000000000007
北屯,,0,0.44209999999999994
铁门关,,0,0.5951
双河,,0,0.10109999999999997
可克达拉,,0,-0.2818999999999998
昆玉,,0,-0.014800000000000146
昆明,云南省,0,1.8711000000000002
保山,云南省,0,0.47909999999999986
楚雄州,,0,-0.10280000000000022
大理州,,0,0.2648999999999999
德宏州,,0,0.8616999999999999
迪庆州,,0,1.8562999999999998
红河州,,0,0.21870000000000012
丽江,云南省,0,0.9198999999999997
临沧,云南省,0,0.04970000000000052
怒江州,,0,1.0122
普洱,云南省,0,0.038300000000000445
曲靖,云南省,0,0.09930000000000039
昭通,云南省,0,-0.4112999999999998
文山,,0,0.3662000000000001
西双版纳傣族自治州,云南省,0,0.1261000000000001
玉溪,云南省,0,0.4856000000000007
杭州,浙江省,0,3.0223
湖州,浙江省,0,1.5336000000000003
嘉兴,浙江省,0,2.2173
金华,浙江省,0,0.5208999999999997
丽水,浙江省,0,0.5695000000000001
宁波,浙江省,0,2.6407000000000003
衢州,浙江省,0,-0.16049999999999986
绍兴,浙江省,0,1.5875
台州,浙江省,0,1.1582000000000003
温州,浙江省,0,1.0439999999999996
舟山,浙江省,0,1.4363000000000001
北京,,1,3.1514999999999995
天津,,1,2.271
上海,,1,3.4549000000000003
重庆,,1,1.1028999999999995
合肥,安徽省,1,2.0595
安庆,安徽省,1,0.49370000000000047
蚌埠,安徽省,1,0.8079000000000001
亳州,安徽省,1,0.4139999999999997
池州,安徽省,1,0.7675999999999998
滁州,安徽省,1,0.17189999999999994
阜阳,安徽省,1,0.5956000000000001
淮北,安徽省,1,0.9484000000000004
黄山,安徽省,1,1.4322000000000008
六安,安徽省,1,0.07639999999999958
马鞍山,安徽省,1,0.6589999999999998
宿州,安徽省,1,0.3982000000000001
铜陵,安徽省,1,0.5145
芜湖,安徽省,1,0.7604999999999995
宣城,安徽省,1,0.12520000000000042
淮南,安徽省,1,-0.41439999999999966
