ct_shortname,prov,Date,value
北京,,0,-0.32769999999999966
天津,,0,-0.3226
上海,,0,-0.32600000000000007
重庆,,0,-0.2937000000000003
合肥,安徽省,0,-0.42390000000000017
安庆,安徽省,0,-0.4908999999999999
蚌埠,安徽省,0,-0.2698999999999998
亳州,安徽省,0,-0.007600000000000051
池州,安徽省,0,-0.4444000000000008
滁州,安徽省,0,-0.48629999999999995
阜阳,安徽省,0,-0.13070000000000004
淮北,安徽省,0,-0.4147999999999996
黄山,安徽省,0,-0.44920000000000027
六安,安徽省,0,-0.41500000000000004
马鞍山,安徽省,0,-0.5221
宿州,安徽省,0,-0.19340000000000046
铜陵,安徽省,0,-0.6279000000000003
芜湖,安徽省,0,-0.5081999999999995
宣城,安徽省,0,-0.5568999999999997
淮南,安徽省,0,-0.4839000000000002
福州,福建省,0,-0.42840000000000034
龙岩,福建省,0,-0.5089999999999999
南平,福建省,0,-0.4001999999999999
宁德,福建省,0,-0.5144000000000002
莆田,福建省,0,-0.5141
泉州,福建省,0,-0.4253
三明,福建省,0,-0.6275999999999997
厦门,福建省,0,-0.28400000000000003
漳州,福建省,0,-0.5220000000000002
广州,广东省,0,-0.09570000000000012
潮州,广东省,0,-0.35630000000000006
东莞,广东省,0,-0.08399999999999996
佛山,广东省,0,-0.13409999999999989
河源,广东省,0,-0.2583000000000002
惠州,广东省,0,-0.11650000000000005
江门,广东省,0,-0.22150000000000025
揭阳,广东省,0,-0.4558
茂名,广东省,0,-0.14829999999999988
梅州,广东省,0,-0.38070000000000004
清远,广东省,0,-0.12220000000000031
汕头,广东省,0,-0.35650000000000004
汕尾,广东省,0,-0.4117000000000002
韶关,广东省,0,-0.22930000000000028
深圳,广东省,0,-0.1272000000000001
阳江,广东省,0,-0.2953999999999999
云浮,广东省,0,-0.24730000000000008
湛江,广东省,0,-0.3407
肇庆,广东省,0,-0.0812999999999997
中山,广东省,0,-0.12849999999999984
珠海,广东省,0,-0.21809999999999996
南宁,广西壮族自治区,0,-0.10809999999999986
百色,广西壮族自治区,0,-0.23080000000000034
