ct_shortname,prov,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
北京,,2.7669000000000006,3.1514999999999995,1.989,1.8801,3.3655,3.1191000000000004,2.9907000000000004,2.6916,2.0464,1.7647,0.5875000000000001,0.40060000000000007,0.38749999999999996,0.5941000000000003,0.3216000000000001,0.6214,0.7375,-0.06309999999999993,1.3694000000000002,1.6265,1.9836999999999998,2.1858,2.8417999999999997,1.7438,0.6229,2.4170000000000003,2.1607000000000003,2.2895,2.3306,3.3563,2.2049000000000003,0.8422999999999998,2.4510000000000005,2.4139000000000004,2.7114000000000003,2.8351000000000006,4.0686
天津,,1.8803,2.271,1.5145,1.7300999999999997,2.8498,2.6888,2.5968999999999998,2.5127999999999995,2.0633,2.0888,1.1444,0.9882,1.4198000000000002,1.7076,1.1869,1.3088,1.3512000000000002,1.2405,2.2138,2.2516000000000003,2.5812000000000004,2.8037000000000005,3.042,2.3349,1.7372999999999998,2.8075000000000006,2.4821,2.736,2.6101000000000005,3.1188999999999996,2.4497,1.5402000000000005,2.4722,2.3325,2.5353000000000003,2.6365000000000003,3.3618
上海,,2.9714,3.4549000000000003,2.2623,1.9333,3.3705,3.1978999999999997,3.064,2.6423000000000005,2.0747,1.6877000000000002,0.7142000000000002,0.42269999999999985,0.3185000000000002,0.46020000000000016,0.21120000000000005,0.41400000000000015,0.5157999999999998,-0.4335,1.3807,1.6801000000000004,2.0284000000000004,2.0723999999999996,2.9765,1.9847,0.5629,2.4357999999999995,2.2630000000000003,2.2251999999999996,2.2173999999999996,3.341,2.166,0.07669999999999977,1.8752999999999997,1.8645999999999998,1.9329,2.1763999999999997,3.6681000000000004
重庆,,0.4245000000000001,1.1028999999999995,1.0183,1.2039000000000004,2.0408,2.1662999999999997,2.2031999999999994,2.7499,2.5805000000000002,2.7897,2.2412,1.9911999999999996,2.3089000000000004,2.6528,2.5745,2.5753999999999997,2.4896000000000003,2.4427000000000003,2.8637000000000006,2.9962,3.016,2.9558,3.1174000000000004,2.5023,2.0701,2.7319999999999993,2.5098000000000003,2.4647,2.1743000000000006,2.2836999999999996,1.8195999999999999,1.2630000000000003,1.4451,1.3432000000000004,1.4328000000000003,1.5036999999999998,1.7474999999999996
合肥,安徽省,1.7071999999999998,2.0595,2.0578000000000003,2.1604,2.9927,2.9749,2.8869000000000002,2.8075,2.3963,2.2604999999999995,1.3582,1.1806,1.3695000000000002,1.7049,1.4856999999999998,1.556,1.5797,1.5801,2.3975999999999997,2.7277000000000005,2.8142000000000005,2.8383,3.2602,2.8754,1.9574,2.6972,2.5052,2.6814999999999998,2.5838,2.9768,2.6032,1.2959999999999998,2.0589999999999997,1.8729999999999998,1.9347999999999996,2.2312999999999996,2.789
安庆,安徽省,-0.35680000000000067,0.49370000000000047,1.2713,1.6576,2.4339000000000004,2.7676,2.9259,3.2396,3.2852,3.9375000000000004,2.8856,2.3870000000000005,3.4332,5.0024,4.4124,4.2503,3.8121000000000005,3.3707,3.8279000000000005,3.3270000000000004,3.2691000000000003,3.2977000000000003,2.9370000000000003,2.5633999999999997,1.9033999999999995,2.3728000000000002,2.1456000000000004,1.8117999999999994,1.2862,1.0705,0.5996000000000006,-0.5632999999999999,-0.23899999999999988,-0.07359999999999989,-0.32120000000000015,0.13750000000000018,0.06550000000000011
蚌埠,安徽省,0.05350000000000055,0.8079000000000001,0.6627999999999998,1.0377,1.8476000000000004,2.4711999999999996,2.5304,3.115,3.4588000000000005,3.9191000000000003,3.6221999999999994,2.7779000000000003,3.6199999999999997,4.4252,3.9833,3.9137,3.4097999999999997,3.7617000000000003,4.2036,3.8506,3.6071,3.3879,3.7082000000000006,3.4156000000000004,2.8565999999999994,2.8376,2.7288,2.7939000000000003,2.584,2.4478,1.9808000000000003,1.3247000000000004,1.6004000000000005,1.3885,1.5605999999999995,1.9983999999999997,1.9837000000000002
亳州,安徽省,-0.020899999999999253,0.4139999999999997,-0.05469999999999953,1.0127000000000006,2.1853000000000007,3.0706999999999995,2.8938999999999995,3.5406000000000004,3.9062,4.2265999999999995,4.1577,2.2196999999999996,3.8996999999999997,5.6896,5.5627,5.3355,4.4029,4.1647,4.619,4.226800000000001,3.6357000000000004,3.2352999999999996,3.4254000000000002,3.0007999999999995,2.3739,1.9212000000000002,1.9386,1.8163,1.1254,0.8652999999999995,0.7210999999999999,0.20670000000000055,0.021600000000000286,-0.1520999999999999,0.24899999999999967,0.5684000000000005,0.30819999999999936
池州,安徽省,-0.07270000000000021,0.7675999999999998,-0.02119999999999944,0.9010000000000002,1.7912,2.0791,2.2088,2.4075,2.4874,3.0585999999999998,2.0656,1.6351999999999998,2.6868,4.1752,3.3642999999999996,3.2947999999999995,2.9779,2.7379999999999995,3.1079000000000003,2.9396,2.7861,2.7941000000000003,2.5876,2.1533999999999995,1.5309000000000004,1.7757999999999998,1.8387999999999995,1.4137000000000004,0.9723000000000006,1.0011,0.2732000000000001,-0.6509999999999998,-0.09479999999999933,0.053599999999999426,-0.27720000000000056,0.21839999999999993,0.39199999999999946
滁州,安徽省,-0.3081000000000005,0.17189999999999994,0.3952,1.0766000000000004,1.7935000000000003,2.0262000000000002,2.0206,2.2923000000000004,2.1698999999999997,2.5296000000000003,2.0824000000000003,1.8908000000000005,2.5995000000000004,3.472,3.104,2.7176,2.3498,2.3697000000000004,2.6766000000000005,2.3657000000000004,2.1794000000000002,2.1251999999999995,2.5264,2.3852,1.6005000000000003,1.5017,1.6371000000000002,1.5929000000000002,1.3430000000000004,1.2915999999999999,1.1459000000000001,0.19890000000000008,0.5691999999999995,0.31570000000000054,0.36319999999999997,0.9009999999999998,0.9216000000000006
