ct_shortname,bd_feb15avgdif_date,bd_feb15avgdif_holi,bd_feb29avgdif_date,bd_feb29avgdif_holi
北京,4.521178260869567,4.991317391304348,1.9407513513513517,2.2329999999999997
天津,4.958265217391305,5.41469130434783,2.1781351351351352,2.461859459459461
上海,4.765521739130433,5.305191304347826,1.8435189189189174,2.1789891891891893
重庆,4.939021739130438,4.731839130434782,2.1566810810810835,2.027891891891892
合肥,5.020169565217391,5.260073913043477,2.249189189189189,2.3983189189189176
安庆,5.991739130434782,5.2512739130434785,2.1791108108108106,1.7188216216216214
蚌埠,5.957617391304348,5.569391304347825,2.6939621621621637,2.4526324324324325
亳州,6.614234782608694,5.614199999999997,2.4517162162162167,1.8300729729729728
池州,5.17654347826087,4.839695652173912,1.7124486486486483,1.5030567567567563
滁州,4.872121739130433,4.631856521739129,1.6863324324324322,1.536978378378378
阜阳,6.79166956521739,6.001360869565218,3.0015162162162152,2.5102432432432433
淮北,5.498099999999999,5.22983043478261,2.3629648648648653,2.196202702702704
黄山,5.806339130434783,5.595543478260869,2.0326891891891896,1.9016540540540539
六安,5.815734782608695,5.335265217391303,2.261794594594594,1.9631243243243235
马鞍山,4.833313043478263,4.756208695652174,1.7101216216216226,1.6621918918918919
宿州,6.0978608695652134,5.399273913043478,2.547656756756754,2.1134000000000004
铜陵,5.0126782608695635,4.679034782608696,1.622878378378378,1.4154783783783782
芜湖,4.96993043478261,5.054278260869564,1.8299108108108113,1.882343243243243
宣城,5.1474782608695655,5.054634782608696,1.5512405405405394,1.4935270270270262
淮南,4.909769565217391,4.619299999999999,1.9028675675675677,1.7223054054054057
福州,3.976086956521739,4.271834782608696,1.437278378378379,1.6211216216216222
龙岩,4.449747826086959,4.284034782608696,1.2781135135135155,1.175102702702703
南平,4.639886956521741,4.4756739130434795,1.6824864864864875,1.5804081081081094
宁德,3.6906086956521724,3.6658086956521734,1.0399459459459455,1.0245297297297298
莆田,4.007869565217391,4.008234782608694,1.3310648648648642,1.3312918918918908
泉州,3.5366869565217396,3.745221739130435,1.1141702702702712,1.2438000000000002
三明,4.414104347826088,4.179326086956522,1.264516216216217,1.1185729729729728
厦门,4.212399999999999,4.72775652173913,1.456205405405405,1.7765621621621621
漳州,3.573321739130436,3.6254478260869583,0.9502378378378382,0.9826405405405412
广州,3.684317391304349,4.264091304347827,1.5036351351351354,1.8640351351351352
潮州,2.6427565217391296,2.8472217391304353,0.5753945945945937,0.7024945945945946
东莞,2.827317391304348,3.5431913043478263,0.9956945945945943,1.4406972972972971
佛山,3.6539434782608713,4.472213043478261,1.3602864864864874,1.868940540540541
河源,3.7412608695652176,3.580239130434782,1.2092540540540542,1.109159459459459
惠州,3.291208695652175,3.715091304347827,1.2581297297297305,1.521624324324325
江门,3.9767826086956535,4.3239478260869575,1.2748810810810816,1.4906864864864864
揭阳,2.710669565217391,2.7379391304347824,0.4760486486486486,0.4930000000000003
茂名,4.710778260869565,4.209034782608697,1.498697297297296,1.1868027027027015
梅州,3.9622608695652195,3.673069565217393,1.1499783783783797,0.9702108108108116
清远,4.147634782608695,4.069813043478261,1.251067567567568,1.2026918918918925
汕头,2.8960913043478262,3.0990652173913036,0.7689135135135139,0.8950864864864867
汕尾,3.096586956521739,3.0706217391304356,0.7224513513513506,0.7063108108108103
韶关,4.046965217391303,3.8958260869565184,1.2011918918918911,1.107240540540539
深圳,3.6164347826086956,4.296017391304348,1.5055459459459457,1.927989189189189
阳江,4.064973913043481,3.922465217391303,1.0269378378378389,0.9383513513513502
云浮,3.9082869565217373,3.738743478260868,1.005213513513512,0.899821621621621
湛江,4.382321739130436,4.0654913043478285,1.2227594594594597,1.0258108108108122
肇庆,4.446026086956524,4.471495652173914,1.8216216216216234,1.8374540540540552
中山,3.6189478260869556,4.4722608695652175,1.406259459459459,1.9366972972972973
珠海,3.771904347826088,4.282621739130434,1.364451351351352,1.681924324324324
南宁,4.694882608695653,4.784426086956521,1.8804027027027037,1.9360648648648646
百色,4.846986956521738,4.338286956521737,1.303421621621621,0.9872027027027013
北海,4.84355652173913,4.893104347826087,1.9928108108108105,2.0236108108108115
崇左,4.680682608695654,4.320421739130436,1.4548918918918927,1.2309459459459466
防城港,4.085973913043478,4.142334782608694,1.546321621621622,1.5813567567567568
桂林,5.174286956521737,5.036369565217392,1.9506675675675669,1.8649351351351355
贵港,5.412695652173916,4.702904347826088,1.8646918918918929,1.4234702702702706
河池,4.811517391304349,4.149499999999998,1.5291567567567586,1.1176324324324312
贺州,5.447908695652173,4.897752173913044,1.8995189189189188,1.5575297297297301
来宾,4.879608695652173,4.310673913043479,1.5236513513513517,1.1699891891891898
柳州,4.6830043478260865,4.676186956521737,1.6053675675675674,1.6011297297297276
钦州,5.089713043478261,4.444439130434782,1.8220621621621613,1.4209459459459457
梧州,5.010139130434783,4.465426086956524,1.462708108108108,1.1241027027027042
玉林,5.363947826086957,4.817369565217392,1.94384864864865,1.6040837837837842
贵阳,3.98984347826087,4.340182608695651,1.513448648648649,1.731227027027026
安顺,4.764565217391304,4.388917391304348,1.2969945945945955,1.0634837837837852
毕节,4.217499999999999,3.581347826086958,0.7022540540540536,0.3068081081081102
六盘水,4.463295652173915,4.083482608695654,1.266897297297299,1.0307972972972985
铜仁,4.933,4.117517391304347,1.186170270270269,0.6792486486486471
遵义,4.566217391304347,4.14676956521739,1.3211783783783764,1.0604405405405393
兰州,4.304869565217392,4.65574347826087,1.8090945945945949,2.0272054054054056
白银,4.700200000000001,4.57746086956522,1.6837999999999997,1.6075027027027042
定西,4.567800000000002,4.282869565217393,1.4636,1.2864810810810812
甘南州,4.002647826086955,3.97917391304348,1.5690270270270266,1.5544351351351366
嘉峪关,3.6889608695652165,3.863086956521737,0.9036702702702697,1.0119108108108095
金昌,4.143595652173913,4.141656521739131,1.0567513513513518,1.0555459459459469
酒泉,4.0895869565217415,4.174247826086956,1.3179729729729743,1.3705999999999996
临夏州,4.539195652173913,4.546499999999998,1.313183783783784,1.317724324324323
陇南,4.158143478260868,3.8936565217391297,1.2735081081081066,1.1090972972972968
平凉,4.528939130434782,4.299656521739129,1.655351351351352,1.512824324324324
庆阳,4.374039130434783,4.1070913043478265,1.4760837837837837,1.3101432432432425
天水,4.5754521739130425,4.425800000000001,1.6662729729729726,1.5732459459459456
武威,4.5321739130434775,4.340891304347824,1.3999810810810809,1.281075675675675
张掖,4.837604347826089,4.736652173913043,1.6185810810810821,1.5558270270270276
海口,4.362321739130433,4.634930434782609,1.94408108108108,2.1135405405405407
白沙黎族自治县,4.104717391304346,3.7977130434782613,0.9827945945945933,0.7919540540540542
保亭黎族苗族自治县,3.540678260869566,3.5895956521739154,0.9420621621621632,0.9724702702702719
昌江黎族自治县,4.273339130434782,4.176682608695651,1.317916216216215,1.2578324324324308
儋州,4.858130434782609,4.745656521739129,1.779010810810811,1.7090945945945943
澄迈,3.6684478260869575,3.603326086956522,1.0506135135135137,1.0101324324324326
东方,4.091965217391303,4.025821739130436,1.0652891891891891,1.0241729729729738
定安,3.8386826086956516,3.624026086956521,0.8671000000000006,0.7336648648648652
琼海,4.205152173913045,4.173230434782607,1.4543432432432444,1.4344999999999994
琼中黎族苗族自治县,4.152908695652174,4.097734782608697,1.3677837837837834,1.3334864864864868
乐东黎族自治县,2.925530434782609,2.730860869565219,0.0804918918918931,-0.04051891891891746
临高,4.602004347826087,4.261530434782605,1.211089189189189,0.999443243243241
陵水黎族自治县,3.500508695652175,3.524713043478262,0.782435135135136,0.7974810810810822
三亚,4.211230434782607,4.31885652173913,1.7169405405405391,1.783843243243242
屯昌,4.627404347826085,4.340330434782608,1.4370864864864856,1.258635135135135
万宁,4.615973913043479,4.44328260869565,1.5798216216216225,1.4724729729729722
文昌,3.95861739130435,3.8493391304347844,1.0892189189189203,1.02128918918919
五指山,2.6477869565217396,2.7249434782608692,0.5664162162162167,0.6143783783783787
郑州,5.263469565217391,5.700691304347825,2.603524324324324,2.8753108108108094
安阳,5.9266869565217375,5.772043478260867,2.8732189189189183,2.777089189189188
鹤壁,5.85474347826087,5.683073913043479,2.762194594594594,2.6554810810810805
焦作,6.022678260869563,6.048065217391304,2.824067567567566,2.839848648648649
开封,5.91795652173913,5.661878260869566,2.5756189189189196,2.4164351351351363
洛阳,5.496273913043479,5.429539130434783,2.498008108108108,2.4565243243243238
漯河,5.866491304347825,5.690208695652173,2.6776162162162156,2.5680351351351347
南阳,6.026900000000002,5.613356521739129,2.8841837837837856,2.6271162162162156
平顶山,5.874213043478259,5.639639130434783,2.5839135135135125,2.438097297297297
濮阳,6.2931739130434785,5.965791304347826,2.958578378378378,2.7550702702702705
三门峡,5.025652173913041,4.938852173913046,1.9399918918918915,1.886035135135137
商丘,6.641647826086957,5.972547826086957,2.7691189189189194,2.3531918918918917
新乡,5.8809999999999985,5.806417391304345,2.686799999999999,2.640437837837836
信阳,6.345586956521739,5.703052173913038,3.036427027027026,2.637013513513511
许昌,6.077439130434781,5.917021739130435,2.5765702702702695,2.4768513513513524
周口,6.597613043478262,5.667504347826089,2.7741324324324332,2.195956756756758
驻马店,6.3168565217391315,5.607682608695654,2.8663270270270274,2.4254891891891908
济源,6.354882608695649,6.406891304347826,3.0738324324324307,3.1061621621621613
哈尔滨,4.951473913043481,5.093995652173915,2.541170270270272,2.6297648648648657
大庆,4.9333347826086955,4.949765217391304,2.295408108108108,2.3056216216216217
大兴安岭,9.04489130434783,9.233704347826087,4.974916216216219,5.092286486486486
鹤岗,4.628639130434783,4.578686956521739,2.0861891891891893,2.055137837837837
黑河,4.278508695652173,4.1698826086956515,2.1939054054054044,2.126381081081081
鸡西,4.9952347826087,4.955347826086957,2.581210810810813,2.5564162162162165
佳木斯,5.025073913043476,5.053000000000001,2.441621621621621,2.4589810810810815
牡丹江,4.629173913043477,4.628278260869566,2.130635135135135,2.1300783783783785
七台河,5.604708695652175,5.482991304347827,2.8508216216216216,2.77515945945946
齐齐哈尔,4.98515652173913,4.810843478260869,2.480483783783784,2.3721270270270276
双鸭山,4.924413043478262,4.833195652173913,2.4665405405405405,2.409837837837838
绥化,4.890386956521738,4.534739130434785,2.3725135135135123,2.1514351351351353
伊春,3.8212826086956544,3.6933130434782613,1.7941945945945958,1.7146459459459464
武汉,4.768834782608695,5.174939130434782,2.7390081081081075,2.991451351351351
鄂州,4.646930434782608,4.635826086956523,2.51474054054054,2.5078378378378385
恩施,5.742126086956522,5.138173913043479,2.716554054054055,2.3411243243243254
黄冈,5.919886956521738,5.2237347826086955,3.0122081081081076,2.5794648648648657
黄石,5.883630434782608,5.57594347826087,3.1904,2.9991351351351354
荆门,6.001578260869567,5.726204347826087,3.106224324324325,2.9350459459459453
荆州,5.60876956521739,5.04488695652174,2.88716216216216,2.5366405405405406
潜江,5.084560869565216,4.754878260869565,2.66028108108108,2.4553432432432425
神农架,4.636952173913044,4.550482608695653,2.1891378378378388,2.135386486486487
十堰,6.074704347826087,5.910386956521736,3.3203675675675686,3.2182243243243236
随州,6.077556521739132,5.760917391304345,3.3025216216216227,3.1056918918918908
天门,5.751256521739129,4.563060869565218,2.8104756756756744,2.0718675675675686
仙桃,4.988847826086953,4.5127434782608695,2.5945162162162148,2.2985594594594594
咸宁,6.340786956521737,5.80688695652174,3.3691459459459443,3.037262162162163
襄阳,6.357452173913043,6.115626086956517,3.453945945945945,3.3036216216216183
孝感,5.583965217391304,5.200913043478261,2.934132432432432,2.696018918918919
宜昌,5.942126086956523,5.881695652173912,3.143081081081082,3.1055162162162153
长沙,4.340286956521738,4.705226086956524,1.692348648648648,1.9192027027027039
常德,5.4127086956521735,4.977273913043478,2.0452783783783772,1.7746027027027012
郴州,5.207491304347825,4.672226086956521,1.9081513513513508,1.5754189189189178
衡阳,4.814865217391303,4.151391304347826,1.3742378378378373,0.9618081081081087
怀化,4.808021739130439,4.272556521739128,1.6551027027027043,1.3222459459459452
娄底,5.134343478260872,4.541682608695652,1.8368540540540552,1.468443243243243
邵阳,4.801491304347824,4.012208695652172,1.504978378378377,1.0143432432432418
湘潭,4.868091304347823,4.73322608695652,1.675818918918917,1.5919837837837822
湘西州,4.663499999999999,4.061365217391301,1.1565810810810806,0.782281081081079
益阳,4.792647826086958,4.315926086956521,1.602335135135136,1.305994594594595
永州,5.41061304347826,4.528260869565217,1.7328648648648652,1.1843756756756756
岳阳,5.577108695652171,5.166621739130434,2.2760486486486475,2.020881081081081
张家界,5.150813043478259,4.791052173913041,1.6093297297297289,1.385694594594593
株洲,5.2194956521739115,5.093147826086956,2.0605945945945936,1.9820540540540539
石家庄,4.979647826086957,5.170039130434782,2.187313513513514,2.305664864864865
保定,4.96118695652174,5.0304,2.3936810810810814,2.436705405405406
沧州,5.423343478260869,5.452169565217391,2.5101270270270275,2.5280459459459452
承德,4.307860869565218,4.272552173913043,1.5905081081081072,1.5685594594594585
邯郸,5.321713043478258,5.152308695652172,2.2358621621621606,2.1305567567567567
衡水,5.113639130434784,5.038573913043477,2.0544000000000007,2.0077378378378374
廊坊,4.330978260869565,4.688256521739128,2.0440027027027026,2.266094594594593
秦皇岛,4.254047826086957,4.402869565217392,1.5778135135135138,1.6703243243243242
唐山,4.614139130434781,4.743473913043475,1.8382297297297283,1.9186270270270258
邢台,5.454091304347825,5.36383043478261,2.444137837837838,2.3880297297297304
张家口,4.4453652173913065,4.413708695652173,1.752659459459461,1.732981081081081
南京,4.8020826086956525,5.216134782608696,1.931648648648649,2.1890324324324335
常州,5.1428608695652205,5.683986956521741,2.0188081081081095,2.3551837837837852
淮安,5.494560869565217,5.3852956521739115,2.224464864864865,2.156543243243242
连云港,5.148526086956521,4.990108695652175,2.257640540540539,2.1591648648648647
南通,4.8625434782608705,5.064447826086957,1.590764864864866,1.7162729729729742
苏州,5.023117391304348,5.819739130434783,1.8900054054054047,2.3852027027027036
宿迁,5.487452173913041,5.305226086956522,1.9508162162162148,1.8375405405405405
