"北 京 市",861)1118,0.43,19.01,80.56
"天 津 市",,0.91,40.94,58.15
"河 北 省",1161)61,,,
"石家庄市",8111̂ 1&211113112,2.17,38.88,58.95
"唐山市",丁31̂ 811311,4.27,62.10,33.63
"秦皇岛市",1̂111111&11̂ (130,6.29,35.33,58.37
"邯郸市",3̂11(1311,6.47,43.22,50.31
"邢台市",X III封以,1.05,35.77,63.18
"保定市",030(11112,5.56,49.05,45.38
"张家口市",2113115)13̂ 011,7.01,38.92,54.07
"承德市",011611̂ (16,1.00,45.97,53.03
"沧州市",0&11̂ 211011,1.22,50.01,48.77
"廊坊市",1̂ 11 层&11 层,2.18,38.63,59.19
"衡水市",6̂11̂ 811111,3.98,48.02,47.99
"山 西 省",811311X1,,,
"太原市",丁“丫 1130,0.54,36.52,62.93
"大同市",0^1011^,1.47,38.54,60.00
"阳泉市",^311^11311,0.45,42.49,57.06
"长治市",01131122111,0.92,37.90,61.19
"晋城市",11110116112,0.26,30.34,69.40
"朔州市",811110211011,3.39,37.42,59.19
"晋中市",11112110112,7.95,31.95,60.09
"运城市",丫111101160呂,6.00,28.61,65.39
"忻州市",,7.38,31.45,61.18
"临汾市",,2.88,21.86,75.26
"吕梁市",^11&11̂,2.44,28.09,69.47
"内 蒙 古 自 治 区",111116^ 1\1〇11̂ 〇113,,,
"呼和浩特市",,1.05,24.81,74.14
"包头市",6301011,1.13,40.70,58.17
"乌海市",\\̂111131,1.23,57.70,41.07
"赤峰市",0111^0^,10.93,37.95,51.12
"通辽市",101121130,13.19,34.29,52.52
"鄂尔多斯市",1̂(108,0.20,33.57,66.22
"呼伦贝尔市",1̂11111113111̂,2.89,46.24,50.87
"巴彦淖尔市",83̂ 31111111,17.47,35.60,46.93
"乌兰察布市",,2.58,37.70,59.73
"辽 宁 省",^13011111^,,,
"沈阳市",811611̂ 311̂,2.32,39.20,58.48
"大连市",0^1130,2.93,38.42,58.65
"鞍山市",^0511&11,0.73,50.31,48.96
"抚顺市",1̂18111111,1.52,57.98,40.50
"本溪市",8611X1,3.23,47.92,48.85
"丹东市",0̂ 11(10112,3.82,31.58,64.60
"锦州市",110211011,2.56,48.96,48.48
"营口市",^111^011,2.75,42.00,55.25
"阜新市",1̂1X111,1.54,38.33,60.13
"辽阳市",,3.19,54.36,42.45
"盘锦市’",,7.59,47.38,45.04
"铁岭市",11611112,3.26,32.64,64.10
"朝阳市",01130^30^,7.47,30.65,61.88
"葫芦岛市",1̂ 11111(130,4.92,47.79,47.29
"吉林省",1̂1111,,,
"长春市",,1.33,53.35,45.32
"吉林市",111111,3.50,35.32,61.18
"四平市",311)1118,2.87,52.11,45.02
"辽源市",1̂30̂ 11311,0.48,59.35,40.17
"通化市",丁00^1113,1.58,42.04,56.38
"白山市",831811&0,5.05,52.94,42.00
"松原市",800^X11311,2.64,43.61,53.75
"白城市",0310116118,12.19,13.85,73.96
"黑龙江省",1̂611〇11̂ | 1311̂,,,
"哈尔滨市",113^111,5.83,29.93,64.24
"齐齐哈尔市",[出虹,3.98,28.65,67.36
"鸡西市",11X1,4.39,45.33,50.28
"鹤岗市",只6呂呵,6.08,50.89,43.03
"双鸭山市",81111311^&811311,3.09,28.57,68.33
"大庆市",0 叫,2.40,62.09,35.51
"伊春市",丫心(10),32.53,25.26,42.21
"佳木斯市",&1111181,6.31,25.78,67.91
"七台河市",,8.79,41.54,49.66
"牡丹江市",,4.37,35.17,60.46
"黑河市",1161116,3.84,30.49,65.67
"绥化市",80111113,46.07,25.77,28.15
"上海市",811311̂ 1131,0.36,30.46,69.18
"江苏省",1̂311̂ 811,,,
"南京市",,2.25,38.03,59.73
"无锡市",^11X1,0.81,41.33,57.86
"徐州市",乂11211011,3.54,43.20,53.26
"常州市",01130^211011,1.84,46.36,51.80
"苏州市",811211011,1.00,47.30,51.70
"南通市",1̂ 31110112,2.14,45.61,52.25
"连云港市",,8.53,44.40,47.07
"淮安市",1111&1*311,8.45,43.90,47.65
"盐城市",丫300116112,8.31,48.65,43.05
"扬州市",3̂11̂ 211011,2.95,47.92,49.13
"镇江市",21160^130^,1.59,46.57,51.85
"泰州市",丁七 211011,3.33,50.51,46.15
"宿迁市",811(̂ 1311,7.33,49.50,43.18
"浙江省",2(16】13叩,,,
"杭州市",^30^211011,1.85,33.61,64.54
"宁波市",1̂111呂1?0,1.50,49.53,48.97
"温州市",^00211011,0.80,40.44,58.76
"嘉兴市",&\1112,2.64,45.48,51.88
"湖州市",1111211011,4.21,45.04,50.75
"绍兴市",811&0X108,3.21,47.84,48.95
"金华市",11111111&,4.52,34.49,60.98
"衢州市",卩11211011,5.03,46.45,48.51
"舟山市",211011811̂ 11,7.67,34.21,58.13
"台州市",731211011,3.19,44.27,52.53
"丽水市",1̂511111,5.81,36.27,57.92
"安徽省",1̂111111,,,
"合肥市",110̂ 61,0.31,47.33,52.35
"芜湖市",,1.44,55.94,42.62
