"北京市",86^111^,3231,3231,2512,2512,175,175,544,544
"天津市",71311̂ 111,4286,4286,3066,3066,254,254,966,966
"河北省",1161)61,,,,,,,,
"石家庄市",8111』13211113112,2638,983,2550,934,41,19,47,30
"唐山市",丁 311呂811311,1630,809,1542,756,26,12,62,41
"秦皇岛市",1̂01111311̂ 30,361,285,295,224,17,15,49,46
"邯郸市",11311(1311,1344,455,1312,442,20,8,12,5
"邢台市",,1343,99,1305,95,10,1,28,3
"保定市",830(110̂,1828,425,1746,398,24,8,58,19
"张家口市",21130̂ )13̂ 011,446,195,415,183,10,3,21,9
"承德市",011602(16,432,83,421,80,6,2,5,1
"沧州市",0311̂ 211011,2417,209,2321,178,36,13,60,18
"廊坊市",1^0呂& 11呂,1180,210,1031,123,33,18,116,69
"衡水市",1̂ 61128111̂,1166,269,1128,255,16,9,22,5
"山西省",811311X1,,,,,,,,
"太原市",丁&咖犯!,376,271,356,255,4,3,16,13
"大同市",〇31〇〇8,232,113,216,105,8,2,8,6
"阳泉市",,132,54,125,49,2,2,5,3
"长治市",01130̂ 2111,353,69,343,65,5,2,5,2
"晋城市",1̂110116112,259,39,244,33,4,3,11,3
"朔州市",811110211011,238,67,232,62,2,2,4,3
"晋中市",110211002,567,134,543,122,12,5,12,7
"运城市",丫1100116112,456,78,441,76,1,,14,2
"忻州市",乂111211011,349,32,346,32,1,,2,
"临汾市",,380,53,367,50,10,2,3,1
"吕梁市",^112112,451,24,437,24,8,,6,
"内蒙古自治区",111116̂  1\1〇11̂〇1!3,,,,,,,,
"呼和浩特市",只〇1|11〇1,232,66,212,62,10,3,10,1
"包头市",830(011,401,319,382,302,6,5,13,12
"乌海市",XVIII!&1,144,144,142,142,,,2,2
"赤峰市",,359,136,351,129,3,3,5,4
"通辽市",丁011 名11狂0,206,61,195,55,6,2,5,4
"鄂尔多斯市",8̂ (108,399,66,381,64,11,1,7,1
"呼伦贝尔市",11111111115111̂,160,36,148,33,6,2,6,1
"巴彦淖尔市",83̂31111111,223,53,212,50,4,2,7,1
"乌兰察布市",111啊 此,230,23,219,21,6,1,5,1
"辽宁省",1̂3011111̂,,,,,,,,
"沈阳市",,1379,1164,1109,905,69,67,201,192
"大连市",0311311,1683,1367,1097,828,115,101,471,438
"鞍山市",1̂181130,561,230,515,210,18,10,28,10
"抚顺市",1̂11811110,242,177,217,155,10,9,15,13
"本溪市",860X1,179,128,157,113,12,10,10,5
"丹东市",0311(1008,345,85,305,69,7,5,33,11
"锦州市",如 21100,294,142,248,105,18,13,28,24
"营口市",^10^011,576,301,482,239,33,24,61,38
"阜新市",1̂1X111,211,118,196,110,9,3,6,5
"辽阳市",,194,115,179,103,5,3,10,9
"盘锦市",3̂0)111,250,184,230,169,7,6,13,9
"铁岭市",丁1611〇2,228,60,208,50,8,4,12,6
"朝阳市",01130̂ 3112,248,64,231,61,11,3,6,
"葫芦岛市",1111111(130,235,79,225,76,1,1,9,2
"吉林省",1̂1111,,,,,,,,
"长春市",,1641,1071,1474,913,33,30,134,128
"吉林市",111111,1076,476,1051,456,7,5,18,15
"四平市",81口1〇呂,601,219,583,211,13,8,5,
"辽源市",1̂ 30̂ 11311,305,155,299,150,3,2,3,3
"通化市",丁01̂ 11113,551,107,534,105,3,,14,2
"白山市",8&1811311,360,129,345,127,6,1,9,1
"松原市",8011^X11311,591,160,582,155,4,1,5,4
"白城市",831011611̂,349,104,333,97,6,3,10,4
"黑龙江省",11611〇11̂ | 1311̂,,,,,,,,
"哈尔滨市",只31七1〇,1275,764,1199,696,28,24,48,44
"齐齐哈尔市",,367,180,348,173,7,3,12,4
"鸡西市",11X1,171,59,164,57,4,2,3,
"鹤岗市",^6 8 ^ 8,123,82,118,80,3,2,2,
"双鸭山市",81111311̂ 3811&11,144,52,139,51,4,1,1,
"大庆市",03(11112,419,232,403,221,6,2,10,9
"伊春市",,97,70,90,64,,,7,6
"佳木斯市",1131111151,288,104,277,95,1,1,10,8
"七台河市",1̂131116,83,59,82,58,,,1,1
"牡丹江市",4̂11(1311)1311̂,,,,,,,,
"黑河市",只6出6,111,30,105,28,2,,4,2
"绥化市",811111113,314,55,307,54,2,1,5,
"上海市",8)1311̂ 1131,8122,8122,4729,4729,922,922,2471,2471
"江苏省",1̂311̂ 811,,,,,,,,
"南京市",1111112,2348,2348,1816,1816,171,171,361,361
"无锡市",^11X1,5258,2847,4079,2064,458,265,721,518
"徐州市",5(021100,2412,723,2255,651,68,30,89,42
"常州市",匚 11302211011,4240,3859,3497,3156,277,259,466,444
