"北京市",861̂ 1118,656,656,113700,113700,94417,94417
"天津市",,426,426,60158,60158,41127,41127
"河北省",1161)61,,,,,,
"石家庄市",8111^1321111311^,235,136,46036,31179,34487,22680
"唐山市",丁311层  511311,173,83,33458,14112,18690,8308
"秦皇岛市",0111 1 1 1 13 11 2( 13 0,71,51,13776,9781,9448,6565
"邯郸市",1^3 0 ( 1 3 1 1,214,117,35057,19207,20836,10723
"邢台市",乂 1〇 2131,177,57,26654,9012,17533,4730
"保定市",63 0 ( 1 1 1 1 2,365,1 1 0,44388,17930,28300,11042
"张家口市",21 1 3 1 1 ^ 1 3 1 ( 0 1 1,1 0 0,57,18554,11257,9401,5636
"承德市",011 6 1 1 8 ( 1 6,79,32,17603,6322,9732,3319
"沧州市",03 1 1 ^ 2 1 1 0 1 1,154,17,31469,10699,19233,5036
"廊坊市",,153,43,16913,4923,11877,3511
"衡水市",11611^811111,126,32,15941,6544,1 1 0 1 0,4752
"山西省",811311X1,,,,,,
"太原市",丁 31^11311,175,152,36566,34155,21476,19606
"大同市",0 3 1 0 1 1 ^,143,108,15553,13148,9464,7162
"阳泉市",,49,38,5812,4882,3893,2820
"长治市",0113 1 1 2 2 1 1 1,114,37,14118,7816,8252,4428
"晋城市",1111〇 116〇 2,83,38,8392,4202,5730,2624
"朔州市",81111 0211011,63,35,6068,3020,2884,1611
"晋中市",11112110112,106,33,11656,4334,7129,2376
"运城市",,269,4,22414,530,11583,1262
"忻州市",乂111211011,112,36,8739,2706,5923,1583
"临汾市",,189,62,15955,6418,11043,3767
"吕梁市",,104,21,8613,1636,7201,1250
"内蒙古自治区",111116̂ 1\1〇11̂〇113,,,,,,
"呼和浩特市",,108,97,17788,16022,10225,9011
"包头市",8 3 0 1 0 1 1,84,72,15818,14773,8588,7716
"乌海市",,27,27,3087,3087,1536,1536
"赤峰市",011 1 ^ 6 1 1 ^,98,53,20383,11171,11601,5399
"通辽市",丁0 0 2 1 1 3 0,81,44,14348,621,7114,3129
"鄂尔多斯市",^ ^ 0 8,90,39,9494,3902,5652,2180
"呼伦贝尔市",1111111111)11 卜,219,21,13854,3669,9623,2437
"巴彦淖尔市",6 3 ^ &11011^,53,38,7368,3251,4956,3160
"乌兰察布市",,51,24,6549,1138,3942,1555
"辽宁省",1̂1珏0111叩,,,,,,
"沈阳市",81160X3118,274,268,64196,62854,28193,27211
"大连市",0& 1 1 3 1 1,153,124,41444,31841,20301,16646
"鞍山市",八0511311,104,62,19076,13240,6680,4266
"抚顺市",尸118111111,58,45,11446,9611,5656,4516
"本溪市",3 6 1 1 X 1,42,30,10785,8610,3966,2990
"丹东市",03 1 1 ( 1 0 1 1 2,44,30,11486,6264,5659,2673
"锦州市",1111211011,77,40,15147,8906,6111,3758
"营口市",V III 蛛 011,126,82,12553,7880,5952,3812
"阜新市",^11X 111,55,45,9758,7978,4547,2907
"辽阳市",,62,50,11794,9690,4593,3479
"盘 锦 市",,62,58,9019,8333,4058,3724
"铁 岭 市",71011112,153,38,12765,4238,5700,1823
"朝 阳 市",01130^3118,80,27,13284,5152,7464,2477
"胡 芦 岛 市",1̂1111(130,75,30,10156,4622,4780,2456
"吉林省",』111〇,,,,,,
"长 春 市",,162,125,44756,36704,21119,16858
"吉 林 市",111111,148,100,23937,16112,12862,8511
"四 平 市",311)1118,63,31,12880,6408,7178,2554
"辽 源 市",1^30^1130,21,15,4702,2902,2808,1539
"通 化 市",丁00^103,66,25,10019,4418,6007,1558
"白 山市",831311311,36,18,7337,4081,3568,1774
"松 原 市",8005x1130,51,22,7661,3278,5681,2067
"白 城市",83101160^,40,21,6297,2712,4687,1730
"黑龙江省",0611011^)1811̂,,,,,,
"哈 尔 滨 市",只3出1〇,310,247,70500,62114,22000,20531
"齐 齐 哈 尔 市",01(̂ 1131̂,116,65,25219,,10377,
"鸡 西 市",^1X1,68,36,11135,6185,4368,2023
"鹤 岗 市",,49,32,8444,6385,3067,1949
"双 鸭 山 市",811113112̂ 3811311,54,27,8412,4731,1972,874
"大 庆 市",03̂ 1112,113,92,16276,13614,9926,6829
"伊 春 市",丫1。1100,40,28,6319,4566,2684,1958
"佳 木 斯 市",1̂81111181,92,54,14351,9574,5694,3159
"七 台 河 市",1̂131116,27,23,3959,3401,1789,1423
"牡 丹 江 市",1̂11(1311̂ 13112,79,36,15700,10636,7797,4159
"黑 河 市",只6出6,63,8,7290,1210,4030,616
"绥 化 市",81111111&,64,,,,10613,
"上海市",811311̂ 1131,363,363,115916,115916,67907,67907
"江苏省",1̂1811̂ 811,,,,,,
"南 京 市",3̂0)111̂,220,220,46960,46960,28100,28100
"无 锡 市",^11X1,166,110,36544,24889,19610,12439
"徐 州 市",5(11211011,135,74,39764,25491,22900,10822
"常 州 市",011&11̂ 211011,67,55,21049,19348,13100,11178
"苏 州 市",811211011,193,97,56135,33631,30300,16141
"南 通 市",^311100^,222,48,33283,14986,18800,7989
"连 云 港 市",1̂3117111123118,80,47,16769,9859,11500,6222
"淮 安 市",91131'&0,59,41,17876,11927,12700,8610
"盐 城 市",丫 311〇116〇2,163,64,29767,12285,18200,6855
"扬 州 市",丫308211011,69,48,16260,11321,10900,6825
"镇 江 市",211611313112,50,29,10859,6769,8100,4109
"泰 州 市",131211011,71,36,17925,8595,11600,4677
"宿 迁 市",811中30,232,42,27100,3729,11500,1418
"浙江省","2116,|1311̂",,,,,,
"杭 州 市",,302,273,70187,64524,41833,38333
"宁 波 市",1̂ 1021)0,154,103,34135,23935,24268,15247
"温 州 市",,142,59,36327,17663,26674,10512
