"北京市",86131118,0.42,0.42,17.49,17.49,82.09,82.09
"天津市",丁!311】111,0.23,0.23,43.43,43.43,56.34,56.34
"河北省",1161)6!,,,,,,
"石家庄市",8111̂ 13211113112,0.20,0.09,30.55,32.17,69.25,67.74
"唐山市",丁 311呂811311,2.17,2.99,42.58,46.96,55.25,50.04
"秦皇岛市",1̂011113112(130,0.16,0.11,32.07,36.94,67.77,62.95
"邯郸市",3̂11(1&11,0.27,0.22,37.15,43.37,62.58,56.41
"邢台市",X III 妳 1,0.17,0.05,28.46,40.94,71.37,59.02
"保定市",830(11112,0.13,0.09,38.83,50.78,61.04,49.13
"张家口市",211311̂ )13̂ 011,0.55,0.11,21.88,28.62,77.57,71.27
"承德市",011011^6,1.13,0.03,23.91,28.90,74.96,71.07
"沧州市",0311̂ 211011,1.33,3.22,25.07,30.16,73.60,66.62
"廊坊市",,0.55,0.36,45.01,51.31,54.44,48.32
"衡水市",960^811111,0.52,0.03,21.46,25.82,78.02,74.15
"山西省",811311X1,,,,,,
"太原市",,0.17,0.13,46.95,47.37,52.88,52.50
"大同市",〇31〇112,0.33,0.24,50.68,56.97,48.99,42.79
"阳泉市",丫(10)糾1130,0.13,0.03,62.37,63.63,37.51,36.34
"长治市",011&1122111,0.32,0.24,51.84,34.81,47.84,64.95
"晋城市",1100116112,0.38,0.04,61.67,66.62,37.95,33.34
"朔州市",811110211011,0.51,0.22,42.02,39.24,57.47,60.54
"晋中市",1̂112110112,0.32,0.19,39.96,26.42,59.72,73.39
"运城市",丫 11110116112,0.56,,31.78,19.64,67.66,80.36
"沂州市",又111211011,0.96,0.61,27.04,20.54,72.00,78.84
"临汾市",,0.92,0.33,33.72,24.08,65.36,75.59
"吕梁市",^ 11̂ 112,0.21,0.06,42.80,19.90,56.99,80.04
"内蒙古自治区",111116̂ 1\1〇11̂〇113,,,,,,
"呼和浩特市",只 〇1±〇1,0.78,0.53,25.91,20.03,73.31,79.44
"包头市",8301011,0.73,0.50,47.71,49.03,51.56,50.47
