name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
孙云飞,安徽省滁州市明光市,1986-03-01 00:00:00.000000000,本科,1984-07-01 00:00:00.000000000,16,安徽,False
郑俊康,浙江省宁波市,1988-05-01 00:00:00.000000000,硕士研究生,1977-11-01 00:00:00.000000000,19,浙江,False
赵乐秦,陕西省西安市,1983-11-01 00:00:00.000000000,硕士研究生,1982-10-01 00:00:00.000000000,19,陕西,False
彭晓春,广西壮族自治区北海市合浦县,1985-04-01 00:00:00.000000000,博士研究生,1989-07-01 00:00:00.000000000,22,广西,False
卫星,云南省昆明市,1984-12-01 00:00:00.000000000,硕士研究生,1987-07-01 00:00:00.000000000,19,云南,False
高宏志,河北省石家庄市正定县,1990-12-01 00:00:00.000000000,硕士研究生,1986-08-01 00:00:00.000000000,19,河北,False
郭青,河北省衡水市故城县,1984-06-01 00:00:00.000000000,博士研究生,1982-09-01 00:00:00.000000000,22,河北,False
刘雪荣,湖北省天门市,1982-04-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,湖北,False
孙雪涛,安徽省阜阳市太和县,1985-12-01 00:00:00.000000000,博士研究生,1991-06-01 00:00:00.000000000,22,安徽,True
王锐,内蒙古自治区呼和浩特市,1985-01-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,内蒙古,False
蹇彪,辽宁省锦州市黑山县,1985-12-01 00:00:00.000000000,博士研究生,1988-07-01 00:00:00.000000000,22,辽宁,False
彭国甫,湖南省湘潭市湘乡市,1984-01-01 00:00:00.000000000,博士研究生,1984-07-01 00:00:00.000000000,22,湖南,False
沈强,安徽省宿州市,1983-07-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,安徽,False
李文荣,云南省昭通市昭阳区,1984-03-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,云南,False
周仲明,河北省衡水市冀州市,1984-06-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,河北,False
王凤波,辽宁省沈阳市,1986-12-01 00:00:00.000000000,硕士研究生,1974-04-01 00:00:00.000000000,19,辽宁,False
李新元,江苏省泰州市泰兴市,1989-03-01 00:00:00.000000000,硕士研究生,1980-12-01 00:00:00.000000000,19,江苏,True
何辛幸,山东省滨州市,1985-05-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,山东,False
庞庆波,吉林通化,1984-12-01 00:00:00.000000000,硕士研究生,1983-09-01 00:00:00.000000000,19,吉林,True
任泽锋,内蒙古自治区乌兰察布市察哈尔右翼中旗,1986-06-01 00:00:00.000000000,硕士研究生,1990-07-01 00:00:00.000000000,19,内蒙古,False
宋殿宇,河南省驻马店市正阳县,1986-05-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,河南,False
易鹏飞,湖南省益阳市,1987-06-01 00:00:00.000000000,本科,1983-07-01 00:00:00.000000000,16,湖南,False
岳亮,河北省邯郸市,1985-04-01 00:00:00.000000000,博士研究生,1982-07-01 00:00:00.000000000,22,河北,True
肖毅,江西省赣州市,1984-08-01 00:00:00.000000000,中央党校政治学理论专业毕业，中央党校在职研究生学历。,1981-09-01 00:00:00.000000000,19,江西,False
王晓,山东省枣庄市,1987-12-01 00:00:00.000000000,博士研究生,1989-08-01 00:00:00.000000000,22,山东,False
王小东,山西省大同市灵丘县,1980-05-01 00:00:00.000000000,硕士研究生,1976-12-01 00:00:00.000000000,19,山西,True
徐新荣,陕西省咸阳市乾县,1984-06-01 00:00:00.000000000,硕士研究生,1984-11-01 00:00:00.000000000,19,陕西,False
李炳军,山东省潍坊市临朐县,1984-03-01 00:00:00.000000000,本科,1984-07-01 00:00:00.000000000,16,山东,True
程连元,北京市,1982-12-01 00:00:00.000000000,博士研究生,1983-07-01 00:00:00.000000000,22,北京,True
钟志生,江西省新余市分宜县,1985-09-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,江西,False
