prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,in_291,popHR18_all,Log_popHR18_all,primary_ind,second_ind,third_ind,prov_full,yiji_date,prov_short,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,yiji_num,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,num_non-domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,sex,nativeplace,partytime,majorchara,firstjobtime,nativeprov,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,party_age,work_age,is_female,ct_shortname,bdidx_avgdiff_holiday,bdidx_avgdiff_date
安徽省,341500,六安市,2011-4,1962-8,孙云飞,57,0,,,8,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,65.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0,六安市,5320556.0,26940.0,8.6,False,True,588.0,6.376726947898627,14.4,43.58,42.02,安徽省,2020-01-24 00:00:00.000000000,安徽,0,1,0,0,1,36.14,29.0,9062.0,914.0,25.0,2.735229759299781,2.9200000000000017,19.64,77.44,男,安徽省滁州市明光市,1986-03-01 00:00:00.000000000,1.0,1984-07-01 00:00:00.000000000,安徽,0.0,1,1,0,0,33.0,35.0,0,六安,1.9631243243243237,2.261794594594594
云南省,532800,西双版纳傣族自治州,2012-12,1963-5,陈玉侯,56,0,,,7,1.0,1.0,1.0,1.0,6.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,,,,,True,False,,,,,,云南省,2020-01-24 00:00:00.000000000,云南,0,1,0,0,1,30.69,,,,,,,,,,,,,,,,0,0,0,0,,,0,西双版纳傣族自治州,1.6788621621621624,1.5463756756756757
广西壮族自治区,450200,柳州市,2013-1,1959-10,郑俊康,60,0,,,7,2.0,3.0,5.0,6.0,6.0,6.0,10.0,11.0,12.0,12.0,14.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,柳州市,22256613.0,99703.0,6.7,False,True,387.0,5.958424693029782,2.52,57.5,39.98,广西壮族自治区,2020-01-24 00:00:00.000000000,广西,0,1,0,0,1,37.35,65.0,10330.0,835.0,36.0,4.311377245508982,0.6899999999999977,56.85,42.46,男,浙江省宁波市,1988-05-01 00:00:00.000000000,1.0,1977-11-01 00:00:00.000000000,浙江,0.0,0,0,1,0,31.0,42.0,0,柳州,1.6011297297297276,1.6053675675675674
广西壮族自治区,450300,桂林市,2013-1,1960-1,赵乐秦,60,0,,,7,2.0,6.0,11.0,14.0,15.0,16.0,18.0,18.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,桂林市,8119388.0,51963.0,-1.3,False,True,534.0,6.280395838960195,6.25,34.08,59.67,广西壮族自治区,2020-01-24 00:00:00.000000000,广西,0,1,0,0,1,37.35,66.0,11614.0,646.0,30.0,4.643962848297214,1.0499999999999972,36.93,62.02,男,陕西省西安市,1983-11-01 00:00:00.000000000,1.0,1982-10-01 00:00:00.000000000,陕西,0.0,0,0,1,0,36.0,37.0,0,桂林,1.8649351351351355,1.9506675675675669
广西壮族自治区,451000,百色市,2013-2,1961-11,彭晓春,58,0,,,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,百色市,2872060.0,72054.0,11.1,False,True,418.0,6.035481432524756,10.18,50.3,39.52,广西壮族自治区,2020-01-24 00:00:00.000000000,广西,0,1,0,0,1,37.35,34.0,6382.0,354.0,13.0,3.672316384180791,1.1000000000000085,26.08,72.82,男,广西壮族自治区北海市合浦县,1985-04-01 00:00:00.000000000,1.0,1989-07-01 00:00:00.000000000,广西,0.0,1,0,0,1,34.0,30.0,0,百色,0.9872027027027012,1.3034216216216208
云南省,530800,普洱市,2013-2,1964-4,卫星,55,0,,,6,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,普洱市,1477545.0,46891.0,11.2,False,True,253.0,5.53338948872752,9.76,39.75,50.49,云南省,2020-01-24 00:00:00.000000000,云南,0,1,0,0,1,30.69,43.0,4215.0,159.0,7.0,4.40251572327044,0.8200000000000003,36.89,62.29,男,云南省昆明市,1984-12-01 00:00:00.000000000,1.0,1987-07-01 00:00:00.000000000,云南,0.0,1,0,1,0,35.0,32.0,0,普洱,1.0397378378378384,1.1374918918918941
河北省,130400,邯郸市,2013-2,1967-10,高宏志,52,0,,,6,0.0,0.0,2.0,2.0,4.0,4.0,6.0,7.0,10.0,11.0,11.0,14.0,14.0,18.0,22.0,26.0,27.0,27.0,27.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,邯郸市,13518281.0,37796.0,6.58,False,True,1051.0,6.957497370876951,6.47,43.22,50.31,河北省,2020-01-24 00:00:00.000000000,河北,0,1,0,0,1,31.22,214.0,20836.0,1344.0,32.0,2.380952380952381,0.2700000000000031,37.15,62.58,男,河北省石家庄市正定县,1990-12-01 00:00:00.000000000,1.0,1986-08-01 00:00:00.000000000,河北,0.0,1,0,1,0,29.0,33.0,0,邯郸,2.1305567567567567,2.2358621621621606
陕西省,610900,安康市,2013-3,1963-10,郭青,56,0,,,6,1.0,3.0,3.0,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,安康市,2909198.0,33076.0,9.0,False,True,305.0,5.720311776607412,8.5,43.51,47.98,陕西省,2020-01-25 00:00:00.000000000,陕西,0,0,1,0,2,43.47,48.0,8577.0,647.0,3.0,0.46367851622874806,0.1799999999999926,27.71,72.11,男,河北省衡水市故城县,1984-06-01 00:00:00.000000000,1.0,1982-09-01 00:00:00.000000000,河北,0.0,0,0,0,1,35.0,37.0,0,安康,1.1530513513513525,1.385648648648648
湖北省,421100,黄冈市,2013-3,1963-9,刘雪荣,56,1,0.0,2020-01-24 00:00:00.000000000,6,12.0,64.0,122.0,154.0,213.0,324.0,496.0,573.0,726.0,1002.0,1246.0,1422.0,1645.0,1807.0,1897.0,2041.0,2141.0,2252.0,2332.0,2398.0,2662.0,2791.0,2817.0,2823.0,2831.0,2828.0,2844.0,2839.0,2856.0,2899.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,0,黄冈市,2235000.0,56950.0,7.3,False,True,740.0,6.606650186198215,6.95,44.3,48.75,湖北省,2020-01-24 00:00:00.000000000,湖北,0,1,0,0,1,56.66,68.0,13400.0,1496.0,47.0,3.141711229946524,2.719999999999999,56.33,40.95,男,湖北省天门市,1982-04-01 00:00:00.000000000,1.0,1984-07-01 00:00:00.000000000,湖北,0.0,1,0,1,0,37.0,35.0,0,黄冈,2.5794648648648657,3.012208108108108
甘肃省,621200,陇南市,2013-4,1966-10,孙雪涛,53,0,,,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,陇南市,1093212.0,19243.0,5.9,False,True,287.0,5.659482215759621,15.22,13.57,71.21,甘肃省,2020-01-25 00:00:00.000000000,甘肃,0,0,1,0,2,31.0,290.0,3869.0,81.0,0.0,0.0,10.700000000000003,20.49,68.81,男,安徽省阜阳市太和县,1985-12-01 00:00:00.000000000,2.0,1991-06-01 00:00:00.000000000,安徽,1.0,0,0,0,1,34.0,28.0,0,陇南,1.1090972972972968,1.2735081081081066
甘肃省,620500,天水市,2013-9,1963-10,王锐,56,0,,,6,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0,天水市,3697913.0,30165.0,5.4,False,True,371.0,5.916202062607435,6.3,40.14,53.56,甘肃省,2020-01-25 00:00:00.000000000,甘肃,0,0,1,0,2,31.0,49.0,5045.0,170.0,2.0,1.1764705882352942,2.3699999999999903,30.18,67.45,男,内蒙古自治区呼和浩特市,1985-01-01 00:00:00.000000000,1.0,1985-07-01 00:00:00.000000000,内蒙古,0.0,0,0,1,0,35.0,34.0,0,天水,1.5732459459459456,1.6662729729729726
辽宁省,211300,朝阳市,2014-3,1964-5,蹇彪,55,1,-12.0,2020-02-05 00:00:00.000000000,5,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0,朝阳市,1936827.0,29816.0,3.45,False,True,336.0,5.817111159963204,7.47,30.65,61.88,辽宁省,2020-01-25 00:00:00.000000000,辽宁,0,0,1,0,2,60.3,80.0,7464.0,248.0,17.0,6.854838709677419,0.5,25.5,74.0,男,辽宁省锦州市黑山县,1985-12-01 00:00:00.000000000,1.0,1988-07-01 00:00:00.000000000,辽宁,0.0,1,0,0,1,34.0,31.0,0,朝阳,1.0363486486486484,1.1153486486486492
湖南省,431200,怀化市,2014-6,1963-1,彭国甫,57,0,,,5,3.0,5.0,8.0,11.0,16.0,18.0,23.0,26.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0,怀化市,3456184.0,56464.0,8.0,False,True,522.0,6.257667587882639,2.63,19.88,77.49,湖南省,2020-01-23 00:00:00.000000000,湖南,1,0,0,0,0,35.3,398.0,11607.0,630.0,14.0,2.2222222222222223,0.45000000000000284,21.06,78.49,男,湖南省湘潭市湘乡市,1984-01-01 00:00:00.000000000,1.0,1984-07-01 00:00:00.000000000,湖南,0.0,1,0,0,1,36.0,35.0,0,怀化,1.3222459459459452,1.6551027027027043
安徽省,340400,淮南市,2014-8,1961-6,沈强,58,0,,,5,0.0,0.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,12.0,12.0,14.0,21.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,24.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0,淮南市,6293324.0,34399.0,6.4,False,True,390.0,5.966146739123692,6.76,45.17,48.07,安徽省,2020-01-24 00:00:00.000000000,安徽,0,1,0,0,1,36.14,72.0,6201.0,610.0,21.0,3.4426229508196724,1.8699999999999974,48.27,49.86,男,安徽省宿州市,1983-07-01 00:00:00.000000000,1.0,1983-07-01 00:00:00.000000000,安徽,0.0,1,0,1,0,36.0,36.0,0,淮南,1.7223054054054057,1.902867567567568
云南省,530300,曲靖市,2015-10,1962-10,李文荣,57,0,,,4,0.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,曲靖市,8096320.0,66152.0,10.1,False,True,661.0,6.493753839851686,7.93,47.4,44.67,云南省,2020-01-24 00:00:00.000000000,云南,0,1,0,0,1,30.69,113.0,9345.0,638.0,10.0,1.5673981191222568,0.240000000000002,54.03,45.73,男,云南省昭通市昭阳区,1984-03-01 00:00:00.000000000,1.0,1984-07-01 00:00:00.000000000,云南,0.0,1,0,1,0,35.0,35.0,0,曲靖,0.4906378378378378,0.8164864864864878
河北省,130800,承德市,2015-10,1963-11,周仲明,56,0,,,4,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,承德市,4045897.0,60575.0,7.22,False,True,380.0,5.940171252720432,1.0,45.97,53.03,河北省,2020-01-24 00:00:00.000000000,河北,0,1,0,0,1,31.22,79.0,9732.0,432.0,11.0,2.5462962962962963,1.1300000000000097,23.91,74.96,男,河北省衡水市冀州市,1984-06-01 00:00:00.000000000,1.0,1984-08-01 00:00:00.000000000,河北,0.0,1,0,1,0,35.0,35.0,0,承德,1.5685594594594583,1.5905081081081072
辽宁省,211000,辽阳市,2015-10,1963-12,王凤波,56,1,-8.0,2020-02-05 00:00:00.000000000,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,辽阳市,5135963.0,,6.22,False,True,177.0,5.176149732573829,3.19,54.36,42.45,辽宁省,2020-01-25 00:00:00.000000000,辽宁,0,0,1,0,2,60.3,62.0,4593.0,194.0,15.0,7.731958762886598,3.960000000000001,48.32,47.72,男,辽宁省沈阳市,1986-12-01 00:00:00.000000000,1.0,1974-04-01 00:00:00.000000000,辽宁,0.0,1,0,1,0,33.0,45.0,0,辽阳,1.1964891891891891,1.1560702702702708
