prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,popHR18_all,Log_popHR18_all,primary_ind,second_ind,third_ind,prov_full,yiji_date,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,yiji_num
安徽省,341500,六安市,2011-4,1962-8,孙云飞,57,0,,,8,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,65.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0,六安市,5320556.0,26940.0,8.6,False,588.0,6.376726947898627,14.4,43.58,42.02,安徽省,2020-01-24,0,1,0,0,1
云南省,532800,西双版纳傣族自治州,2012-12,1963-5,陈玉侯,56,0,,,7,1.0,1.0,1.0,1.0,6.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,,,,,True,,,,,,云南省,2020-01-24,0,1,0,0,1
湖南省,433100,湘西土家族苗族自治州,2013-1,1958-6,叶红专,61,0,,,7,0.0,0.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,,,,,True,,,,,,湖南省,2020-01-23,1,0,0,0,0
广西壮族自治区,450200,柳州市,2013-1,1959-10,郑俊康,60,0,,,7,2.0,3.0,5.0,6.0,6.0,6.0,10.0,11.0,12.0,12.0,14.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,柳州市,22256613.0,99703.0,6.7,False,387.0,5.958424693029782,2.52,57.5,39.98,广西壮族自治区,2020-01-24,0,1,0,0,1
广西壮族自治区,450300,桂林市,2013-1,1960-1,赵乐秦,60,0,,,7,2.0,6.0,11.0,14.0,15.0,16.0,18.0,18.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,桂林市,8119388.0,51963.0,-1.3,False,534.0,6.280395838960195,6.25,34.08,59.67,广西壮族自治区,2020-01-24,0,1,0,0,1
广西壮族自治区,451000,百色市,2013-2,1961-11,彭晓春,58,0,,,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,百色市,2872060.0,72054.0,11.1,False,418.0,6.035481432524756,10.18,50.3,39.52,广西壮族自治区,2020-01-24,0,1,0,0,1
云南省,530800,普洱市,2013-2,1964-4,卫星,55,0,,,6,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,普洱市,1477545.0,46891.0,11.2,False,253.0,5.53338948872752,9.76,39.75,50.49,云南省,2020-01-24,0,1,0,0,1
河北省,130400,邯郸市,2013-2,1967-10,高宏志,52,0,,,6,0.0,0.0,2.0,2.0,4.0,4.0,6.0,7.0,10.0,11.0,11.0,14.0,14.0,18.0,22.0,26.0,27.0,27.0,27.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,邯郸市,13518281.0,37796.0,6.58,False,1051.0,6.957497370876951,6.47,43.22,50.31,河北省,2020-01-24,0,1,0,0,1
陕西省,610900,安康市,2013-3,1963-10,郭青,56,0,,,6,1.0,3.0,3.0,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,安康市,2909198.0,33076.0,9.0,False,305.0,5.720311776607412,8.5,43.51,47.98,陕西省,2020-01-25,0,0,1,0,2
青海省,632200,海北藏族自治州,2013-3,1962-10,尼玛卓玛,57,0,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,,,,,True,,,,,,青海省,2020-01-26,0,0,0,1,3
湖北省,421100,黄冈市,2013-3,1963-9,刘雪荣,56,1,0.0,2020-01-24,6,12.0,64.0,122.0,154.0,213.0,324.0,496.0,573.0,726.0,1002.0,1246.0,1422.0,1645.0,1807.0,1897.0,2041.0,2141.0,2252.0,2332.0,2398.0,2662.0,2791.0,2817.0,2823.0,2831.0,2828.0,2844.0,2839.0,2856.0,2899.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,0,黄冈市,2235000.0,56950.0,7.3,False,740.0,6.606650186198215,6.95,44.3,48.75,湖北省,2020-01-24,0,1,0,0,1
甘肃省,621200,陇南市,2013-4,1966-10,孙雪涛,53,0,,,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,陇南市,1093212.0,19243.0,5.9,False,287.0,5.659482215759621,15.22,13.57,71.21,甘肃省,2020-01-25,0,0,1,0,2
青海省,632500,海南藏族自治州,2013-5,1961-7,张文魁,58,0,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,,,,,青海省,2020-01-26,0,0,0,1,3
甘肃省,620500,天水市,2013-9,1963-10,王锐,56,0,,,6,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0,天水市,3697913.0,30165.0,5.4,False,371.0,5.916202062607435,6.3,40.14,53.56,甘肃省,2020-01-25,0,0,1,0,2
