provincecode,provincename,citycode,ctnm,inaug_time,off_month,birthmonth,name,note,race,time_of_data_entry,rule_in_covid,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,cityCode,cityFullName,cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct
340000,安徽省,341500,六安市,2011-4,,1962-8,孙云飞,,汉族,2020-07-21 17:00:00,True,57,False,,,8,341500.0,六安市,六安,安徽省,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,65.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0
530000,云南省,532800,西双版纳傣族自治州,2012-12,,1963-5,陈玉侯,,汉族,2020-07-21 17:00:00,True,56,False,,,7,532800.0,西双版纳傣族自治州,西双版纳,云南省,1.0,1.0,1.0,1.0,6.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0
430000,湖南省,433100,湘西土家族苗族自治州,2013-1,,1958-6,叶红专,,土家族,2020-07-21 17:00:00,True,61,False,,,7,433100.0,湘西土家族苗族自治州,湘西自治州,湖南省,,,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0
450000,广西壮族自治区,450200,柳州市,2013-1,,1959-10,郑俊康,,汉族,2020-07-21 17:00:00,True,60,False,,,7,450200.0,柳州市,柳州,广西壮族自治区,2.0,3.0,5.0,6.0,6.0,6.0,10.0,11.0,12.0,12.0,14.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0
450000,广西壮族自治区,450300,桂林市,2013-1,,1960-1,赵乐秦,,汉族,2020-07-21 17:00:00,True,60,False,,,7,450300.0,桂林市,桂林,广西壮族自治区,2.0,6.0,11.0,14.0,15.0,16.0,18.0,18.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
450000,广西壮族自治区,451000,百色市,2013-2,,1961-11,彭晓春,,汉族,2020-07-21 17:00:00,True,58,False,,,6,451000.0,百色市,百色,广西壮族自治区,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
530000,云南省,530800,普洱市,2013-2,,1964-4,卫星,,汉族,2020-07-21 17:00:00,True,55,False,,,6,530800.0,普洱市,普洱,云南省,,,,,,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
130000,河北省,130400,邯郸市,2013-2,,1967-10,高宏志,,汉族,2020-07-21 17:00:00,True,52,False,,,6,130400.0,邯郸市,邯郸,河北省,,,2.0,2.0,4.0,4.0,6.0,7.0,10.0,11.0,11.0,14.0,14.0,18.0,22.0,26.0,27.0,27.0,27.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
610000,陕西省,610900,安康市,2013-3,,1963-10,郭青,,汉族,2020-07-21 17:00:00,True,56,False,,,6,610900.0,安康市,安康,陕西省,1.0,3.0,3.0,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0
630000,青海省,632200,海北藏族自治州,2013-3,,1962-10,尼玛卓玛,,藏族,2020-07-21 17:00:00,True,57,False,,,6,632200.0,海北藏族自治州,海北州,青海省,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
