,Intercept,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
2020-02-03,-0.6654,-0.00185,-0.0***,3.51841***,0.00869*,0.01248**,0.15207,0.01691,0.00425,0.00047,0.25401,0.59996***,0.97861***,0.80752**,-0.00156***,5e-05***,8e-05**,-0.01137**,-0.01908,-0.23273,-0.18697,-0.24571,0.05989,0.03581,-0.0147*,0.00147
2020-02-04,-0.65495,-0.00178,-0.0***,3.26846***,0.00839*,0.01226**,0.14595,0.01674,0.00326,0.00048,0.25434,0.60625***,0.98313***,0.82259**,-0.00156***,5e-05***,8e-05**,-0.01137**,-0.01959,-0.22958,-0.18718,-0.23819,0.0522,0.03416,-0.01471*,0.00188
2020-02-05,-0.6372,-0.0012,-0.0***,2.80628***,0.00867*,0.01249**,0.13881,0.01557,0.00292,0.00048,0.25519,0.61047***,0.98366***,0.81809**,-0.00156***,5e-05***,8e-05**,-0.01131**,-0.01799,-0.22112,-0.18276,-0.23331,0.04716,0.03101,-0.01409,0.00202
2020-02-06,-0.61413,-0.00069,-0.0***,2.40444***,0.00901*,0.01268**,0.14323,0.01342,0.00345,0.00047,0.2611,0.61355***,0.98443***,0.81712**,-0.00155***,5e-05***,8e-05**,-0.01082**,-0.01847,-0.21443,-0.1762,-0.2235,0.0462,0.027,-0.01268,0.0027
2020-02-07,-0.5661,-0.00032,-0.0***,2.12718***,0.00925*,0.01253**,0.13915,0.0116,0.0048,0.0005,0.25705,0.61119***,0.98184***,0.81898**,-0.00155***,4e-05***,7e-05**,-0.01037**,-0.02043,-0.19904,-0.16168,-0.20538,0.04418,0.02228,-0.01226,0.00333
2020-02-08,-0.58316,-0.00011,-0.0***,1.95361***,0.00945*,0.01279**,0.13876,0.01157,0.00421,0.0005,0.25857,0.61322***,0.98422***,0.825**,-0.00154***,4e-05***,7e-05**,-0.01032**,-0.02281,-0.20666,-0.16725,-0.20925,0.04571,0.02129,-0.01219,0.0034
2020-02-09,-0.57801,9e-05,-0.0***,1.84549***,0.00945*,0.01275**,0.13631,0.01113,0.00447,0.00052,0.25541,0.61112***,0.98385***,0.82634**,-0.00155***,4e-05***,7e-05**,-0.00998**,-0.02622,-0.2054,-0.16618,-0.20643,0.04741,0.01812,-0.01171,0.00355
2020-02-10,-0.57186,0.00015,-0.0***,1.78948***,0.0095*,0.01282**,0.13907,0.01064,0.00466,0.00058,0.24826,0.60675***,0.98164***,0.82599**,-0.00154***,4e-05***,7e-05**,-0.01015**,-0.02934,-0.20267,-0.1651,-0.20409,0.04689,0.0174,-0.01141,0.00367
2020-02-11,-0.56023,0.00029,-0.0***,1.71048***,0.00955**,0.01285**,0.13474,0.01004,0.0054,0.00064,0.24127,0.60525***,0.98185***,0.82727**,-0.00154***,4e-05***,7e-05**,-0.01002**,-0.03155,-0.19852,-0.16167,-0.20005,0.04921,0.01583,-0.01121,0.00381
2020-02-12,-0.58071,0.00058,-0.0***,1.51846***,0.0101**,0.01339**,0.13771,0.00928,0.00574,0.00066,0.24859,0.61356***,0.98807***,0.83372**,-0.00155***,4e-05***,7e-05**,-0.00983**,-0.03112,-0.20634,-0.16735,-0.20703,0.04979,0.01473,-0.01083,0.00393
2020-02-13,-0.58318,0.00056,-0.0***,1.51023***,0.0101**,0.0134**,0.13967,0.00943,0.00601,0.00067,0.24715,0.61252***,0.98703***,0.83487**,-0.00155***,4e-05***,7e-05**,-0.00984**,-0.03216,-0.20739,-0.16837,-0.20742,0.0506,0.01436,-0.01104,0.00393
2020-02-14,-0.57369,0.00059,-0.0***,1.47284***,0.01008**,0.01332**,0.14511,0.0093,0.00665,0.00068,0.24714,0.61157***,0.98619***,0.83651**,-0.00156***,4e-05***,7e-05**,-0.00972**,-0.03178,-0.2039,-0.16491,-0.20489,0.05086,0.01253,-0.01111,0.00393
2020-02-15,-0.57494,0.00057,-0.0***,1.46295***,0.01009**,0.0134**,0.15224,0.00926,0.00633,0.00067,0.24595,0.61047***,0.98453***,0.83647**,-0.00157***,4e-05***,7e-05**,-0.0099**,-0.03209,-0.20376,-0.16638,-0.2048,0.05114,0.01314,-0.01111,0.00398
2020-02-16,-0.57423,0.00058,-0.0***,1.44741***,0.01015**,0.01344**,0.15328,0.0092,0.00625,0.00065,0.24805,0.61084***,0.98423***,0.83693**,-0.00157***,4e-05***,7e-05**,-0.00987**,-0.03233,-0.20382,-0.16656,-0.20385,0.051,0.01261,-0.01121,0.00405
2020-02-17,-0.56913,0.00059,-0.0***,1.44546***,0.01012**,0.01338**,0.1528,0.00909,0.00618,0.00065,0.24662,0.60894***,0.98263***,0.8363**,-0.00157***,4e-05***,7e-05**,-0.00987**,-0.03251,-0.20203,-0.16514,-0.20197,0.0507,0.01275,-0.01115,0.00412
2020-02-18,-0.56275,0.0006,-0.0***,1.43401***,0.01008**,0.01335**,0.15416,0.00907,0.00637,0.00065,0.24729,0.60881***,0.98252***,0.83706**,-0.00157***,4e-05***,7e-05**,-0.00985**,-0.03283,-0.19954,-0.16315,-0.20006,0.05085,0.0129,-0.01128,0.00409
2020-02-19,-0.56167,0.0006,-0.0***,1.43653***,0.01007**,0.01339**,0.15513,0.00893,0.0064,0.00066,0.24646,0.6088***,0.98222***,0.83728**,-0.00157***,4e-05***,7e-05**,-0.00987**,-0.03309,-0.19911,-0.16282,-0.19974,0.05133,0.01303,-0.01123,0.00417
2020-02-20,-0.56015,0.00062,-0.0***,1.4321***,0.01006**,0.01338**,0.15653,0.00888,0.0066,0.00067,0.24532,0.60825***,0.98143***,0.83695**,-0.00157***,4e-05***,7e-05**,-0.00992**,-0.03406,-0.19823,-0.16294,-0.19898,0.05214,0.01331,-0.01123,0.00421
2020-02-21,-0.55132,0.00061,-0.0***,1.43114***,0.01008**,0.01337**,0.15585,0.00834,0.00706,0.00056,0.25711,0.60818***,0.98571***,0.83253**,-0.00156***,4e-05***,7e-05**,-0.00968**,-0.04116,-0.19475,-0.16199,-0.19459,0.0528,0.00959,-0.01024,0.00404
2020-02-22,-0.54955,0.00061,-0.0***,1.43247***,0.01009**,0.01337**,0.15672,0.00825,0.00702,0.00056,0.25637,0.60775***,0.98549***,0.83231**,-0.00156***,4e-05***,7e-05**,-0.00967**,-0.04119,-0.19412,-0.16144,-0.19399,0.05288,0.00959,-0.0102,0.00406
2020-02-23,-0.54937,0.00061,-0.0***,1.43234***,0.01009**,0.01338**,0.15715,0.00824,0.00702,0.00056,0.25625,0.60781***,0.98562***,0.83219**,-0.00156***,4e-05***,7e-05**,-0.00967**,-0.04146,-0.19398,-0.16151,-0.19388,0.0529,0.00935,-0.01017,0.00406
2020-02-24,-0.54922,0.00061,-0.0***,1.42906***,0.0101**,0.01338**,0.15725,0.00825,0.00703,0.00055,0.25671,0.608***,0.98572***,0.83222**,-0.00157***,4e-05***,7e-05**,-0.00967**,-0.04132,-0.19397,-0.16152,-0.19374,0.05285,0.00925,-0.0102,0.00404
2020-02-25,-0.54973,0.00061,-0.0***,1.42818***,0.01012**,0.01339**,0.15756,0.00826,0.00706,0.00055,0.25704,0.60807***,0.98585***,0.83217**,-0.00157***,4e-05***,7e-05**,-0.00967**,-0.04145,-0.19418,-0.16169,-0.19385,0.05265,0.00919,-0.0102,0.00401
2020-02-26,-0.54951,0.00061,-0.0***,1.42819***,0.01012**,0.01339**,0.1576,0.00826,0.00707,0.00055,0.25702,0.60804***,0.98587***,0.8322**,-0.00157***,4e-05***,7e-05**,-0.00967**,-0.04142,-0.19408,-0.16159,-0.19384,0.05265,0.00916,-0.01021,0.00401
2020-02-27,-0.55002,0.00061,-0.0***,1.43029***,0.01013**,0.0134**,0.1581,0.00829,0.00714,0.00055,0.25645,0.60762***,0.98555***,0.83229**,-0.00157***,4e-05***,7e-05**,-0.00969**,-0.04128,-0.19406,-0.1617,-0.19425,0.05289,0.00929,-0.01024,0.00398
2020-02-28,-0.55022,0.00061,-0.0***,1.4292***,0.01013**,0.0134**,0.15847,0.00832,0.00713,0.00055,0.25661,0.60764***,0.98564***,0.83235**,-0.00157***,4e-05***,7e-05**,-0.0097**,-0.04126,-0.19412,-0.16177,-0.19432,0.05288,0.00913,-0.01026,0.00396
2020-02-29,-0.54933,0.00061,-0.0***,1.4278***,0.01013**,0.0134**,0.15871,0.00831,0.00713,0.00055,0.25648,0.60771***,0.98562***,0.83229**,-0.00157***,4e-05***,7e-05**,-0.0097**,-0.04141,-0.19379,-0.16157,-0.19397,0.05283,0.00912,-0.01026,0.00395
