,Intercept,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
2020-02-03,-0.14924,0.00034,-0.0***,2.84754***,0.00039,0.00249,0.16861,0.02538,0.01269,0.00045,0.4394*,0.84942***,1.10558***,0.86729**,-0.00122***,4e-05***,5e-05,-0.01659***,-0.0143,-0.05678,-0.0293,-0.06316,0.0706,0.05594,-0.0158*,-0.00778
2020-02-04,-0.13559,0.00012,-0.0***,2.70082***,0.00012,0.00227,0.15932,0.0251,0.01152,0.00047,0.43531*,0.85182***,1.10635***,0.87786**,-0.00122***,4e-05***,4e-05,-0.01662***,-0.01488,-0.05237,-0.02902,-0.05421,0.06324,0.05482,-0.01571*,-0.00738
2020-02-05,-0.10904,0.00058,-0.0***,2.31642***,0.00038,0.00249,0.15031,0.02363,0.01109,0.00048,0.43186*,0.85486***,1.10581***,0.8728**,-0.00121***,4e-05***,4e-05,-0.01648***,-0.01365,-0.04054,-0.02214,-0.04636,0.05744,0.05169,-0.01506*,-0.00711
2020-02-06,-0.08574,0.0009,-0.0***,1.98025***,0.0007,0.00268,0.15643,0.02156,0.01159,0.00047,0.43774*,0.8573***,1.10639***,0.87178**,-0.00121***,4e-05***,4e-05,-0.01601***,-0.01403,-0.03357,-0.0155,-0.03667,0.05591,0.04761,-0.01375,-0.00645
2020-02-07,-0.03559,0.00112,-0.0***,1.77892***,0.00094,0.00255,0.15376,0.01955,0.01279,0.0005,0.43011*,0.85212***,1.10189***,0.87131**,-0.00121***,4e-05***,4e-05,-0.01566***,-0.01612,-0.01757,-0.0006,-0.01743,0.05426,0.04345,-0.01327,-0.00568
2020-02-08,-0.05429,0.00126,-0.0***,1.63371***,0.00117,0.00283,0.15377,0.01946,0.01208,0.0005,0.43162*,0.85336***,1.10382***,0.87681**,-0.0012***,4e-05***,4e-05,-0.0156***,-0.01862,-0.02609,-0.00669,-0.02151,0.05604,0.04234,-0.01316,-0.00556
2020-02-09,-0.04637,0.00139,-0.0***,1.5468***,0.00112,0.00276,0.15045,0.01901,0.01234,0.00052,0.42829*,0.85053***,1.10317***,0.87778**,-0.00121***,4e-05***,4e-05,-0.01527***,-0.02224,-0.02418,-0.00478,-0.01741,0.05787,0.03922,-0.0127,-0.00538
2020-02-10,-0.03561,0.00139,-0.0***,1.50221***,0.00117,0.00283,0.15344,0.01841,0.01257,0.00058,0.42216*,0.84618***,1.10096***,0.87741**,-0.00121***,4e-05***,4e-05,-0.01548***,-0.02501,-0.01989,-0.00205,-0.01367,0.05734,0.03843,-0.01241,-0.00524
2020-02-11,-0.02113,0.00149,-0.0***,1.43147***,0.00121,0.00287,0.14772,0.01775,0.01339,0.00063,0.41578*,0.84481***,1.10133***,0.87877**,-0.00122***,4e-05***,4e-05,-0.01535***,-0.02725,-0.01469,0.00237,-0.0088,0.05967,0.03669,-0.01223,-0.0051
2020-02-12,-0.03597,0.00175*,-0.0***,1.26174***,0.00173,0.00337,0.15227,0.01689,0.01377,0.00066,0.421*,0.85202***,1.10685***,0.88465**,-0.00122***,4e-05***,4e-05,-0.01515***,-0.02702,-0.02064,-0.00161,-0.01372,0.06031,0.03568,-0.01188,-0.00492
