,Intercept,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
2020-02-03,6e-05,0.00031,-0.0***,2.84033***,-0.00057,0.00278,0.17751,0.02261,0.01243,0.0004,0.38076,0.78547***,1.02083***,0.83275**,-0.00113**,4e-05***,3e-05,-0.01703***,0.0048,0.00243,-0.00086,-0.00859,0.00348,0.01225,-0.01567,0.02911,0.05132,-0.0144,-0.00936
2020-02-04,7e-05,0.00015,-0.0***,2.67832***,-0.00084,0.00249,0.16625,0.02236,0.01095,0.00041,0.37806,0.78942***,1.0247***,0.84369**,-0.00112**,4e-05***,3e-05,-0.01694***,0.00467,0.00254,-0.0006,-0.00964,0.00304,0.00785,-0.01083,0.02126,0.05031,-0.01429,-0.00897
2020-02-05,8e-05,0.00061,-0.0***,2.30077***,-0.00071,0.0026,0.15692,0.02071,0.01049,0.00043,0.37308,0.79116***,1.02316***,0.83768**,-0.00111**,4e-05***,3e-05,-0.01673***,0.00526,0.0031,-6e-05,-0.0084,0.0064,0.00539,-0.01171,0.01451,0.04693,-0.01356,-0.0087
2020-02-06,0.0001,0.00092,-0.0***,1.96856***,-0.00057,0.00269,0.16435,0.01839,0.01114,0.00041,0.37368,0.78812***,1.01799***,0.83306**,-0.0011**,4e-05***,2e-05,-0.01627***,0.00561,0.00384,0.00048,-0.0081,0.00624,0.0045,-0.01063,0.01236,0.04307,-0.01232,-0.00793
2020-02-07,0.00013,0.00114,-0.0***,1.77389***,-0.00045,0.00249,0.16223,0.01616,0.01239,0.00045,0.36295,0.78007***,1.01057***,0.83064**,-0.0011**,4e-05***,2e-05,-0.01591***,0.00649,0.00477,0.00132,-0.00991,0.00609,0.00234,-0.0083,0.00887,0.03894,-0.0118,-0.00715
2020-02-08,0.00011,0.00128,-0.0***,1.62757***,-8e-05,0.00291,0.16274,0.01605,0.01175,0.00046,0.36554,0.78265***,1.01393***,0.83714**,-0.0011**,4e-05***,2e-05,-0.01589***,0.00614,0.00434,0.00092,-0.0126,0.00354,0.00269,-0.00612,0.01155,0.03803,-0.01167,-0.00695
2020-02-09,0.00012,0.00141,-0.0***,1.54368***,-8e-05,0.00286,0.15922,0.01563,0.01199,0.00048,0.36299,0.78042***,1.01412***,0.83855**,-0.00111**,4e-05***,2e-05,-0.01557***,0.00624,0.00437,0.00098,-0.01629,0.00285,0.00188,-0.00461,0.01398,0.03488,-0.01118,-0.00681
2020-02-10,0.00012,0.0014,-0.0***,1.5007***,7e-05,0.00302,0.16226,0.01501,0.01221,0.00054,0.35809,0.7773***,1.01338***,0.83887**,-0.00111**,4e-05***,2e-05,-0.01581***,0.00626,0.00437,0.00104,-0.01902,0.00345,0.00113,-0.00447,0.01304,0.03444,-0.01088,-0.00665
2020-02-11,0.00012,0.0015,-0.0***,1.43044***,0.0002,0.00312,0.15653,0.01435,0.01305,0.0006,0.35311,0.77737***,1.0151***,0.8413**,-0.00111**,4e-05***,2e-05,-0.01568***,0.00645,0.00445,0.00116,-0.0212,0.0039,0.00073,-0.00451,0.01579,0.03273,-0.0107,-0.00652
2020-02-12,0.00012,0.00175*,-0.0***,1.26345***,0.00047,0.00343,0.16092,0.01333,0.01355,0.00062,0.35609,0.78187***,1.01813***,0.84502**,-0.00112**,4e-05***,2e-05,-0.01545***,0.00661,0.00462,0.00123,-0.02119,0.00313,0.00131,-0.00432,0.01478,0.03141,-0.01026,-0.00637
2020-02-13,0.00012,0.00171*,-0.0***,1.25836***,0.00053,0.00349,0.16281,0.0135,0.01378,0.00063,0.35624,0.78216***,1.01827***,0.84701**,-0.00112**,4e-05***,2e-05,-0.01547***,0.0065,0.00448,0.00114,-0.02221,0.0027,0.0012,-0.00378,0.01554,0.03095,-0.01048,-0.00637
