,Intercept,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
2020-02-03,-0.00016,-0.00186,-0.0***,3.45447***,0.00817,0.01367**,0.17829,0.01601,0.00723,0.00046,0.2081,0.55376**,0.89236***,0.79321**,-0.00151***,5e-05***,6e-05*,-0.01255**,-0.00031,-0.00547,-0.00974,-0.01154,-0.00356,0.03187,-0.02847,0.04554,0.02565,-0.01454,0.00036
2020-02-04,-0.00015,-0.00173,-0.0***,3.18714***,0.00787,0.01338**,0.17006,0.01586,0.00595,0.00046,0.21047,0.562**,0.90048***,0.80869**,-0.00151***,5e-05***,6e-05*,-0.01241**,-0.00054,-0.00542,-0.00951,-0.01244,-0.00425,0.02823,-0.02414,0.03757,0.0241,-0.01453,0.00077
2020-02-05,-0.00014,-0.00115,-0.0***,2.73859***,0.008,0.01347**,0.16286,0.01455,0.00563,0.00046,0.20946,0.56443**,0.89944***,0.80307**,-0.00151***,5e-05***,6e-05*,-0.0123**,-5e-05,-0.00494,-0.00908,-0.0109,-0.00142,0.02633,-0.02505,0.03171,0.0207,-0.01386,0.0009
2020-02-06,-0.00012,-0.00066,-0.0***,2.34877***,0.00813,0.01356**,0.16879,0.01218,0.00631,0.00045,0.2092,0.56135**,0.89379***,0.79811**,-0.0015***,5e-05***,6e-05,-0.01184**,0.00029,-0.00417,-0.00854,-0.01067,-0.00172,0.02546,-0.02387,0.0299,0.01708,-0.01256,0.00169
2020-02-07,-0.0001,-0.0003,-0.0***,2.08374***,0.00823,0.01333**,0.16557,0.01014,0.00773,0.00048,0.20157,0.55569**,0.8877***,0.79771**,-0.00149***,5e-05***,5e-05,-0.01138**,0.00117,-0.00322,-0.00771,-0.01221,-0.00167,0.02367,-0.0221,0.02617,0.01244,-0.01212,0.00233
2020-02-08,-0.00011,-8e-05,-0.0***,1.91314***,0.00857,0.01371**,0.16576,0.01008,0.00719,0.00049,0.20394,0.55897**,0.89144***,0.80457**,-0.00148***,5e-05***,5e-05,-0.01137**,0.00083,-0.00363,-0.00808,-0.01468,-0.00379,0.02399,-0.0203,0.02856,0.01169,-0.01204,0.00248
2020-02-09,-0.00011,0.0001,-0.0***,1.81101***,0.00861,0.01369**,0.16336,0.00965,0.00744,0.00051,0.20124,0.55717**,0.89148***,0.80612**,-0.00149***,5e-05***,5e-05,-0.01104**,0.0009,-0.00362,-0.00804,-0.01804,-0.00416,0.02328,-0.01922,0.03075,0.0086,-0.01154,0.00261
2020-02-10,-0.00011,0.00016,-0.0***,1.75796***,0.00876,0.01384**,0.16619,0.00915,0.00762,0.00057,0.19502,0.55377**,0.89048***,0.80626**,-0.00149***,5e-05***,5e-05,-0.01124**,0.00085,-0.00367,-0.00804,-0.02111,-0.00359,0.0224,-0.01892,0.02983,0.00824,-0.01123,0.00276
2020-02-11,-0.00011,0.00029,-0.0***,1.68191***,0.00889,0.01395**,0.16203,0.00857,0.00836,0.00064,0.18928,0.55355**,0.89186***,0.80847**,-0.00149***,4e-05***,5e-05,-0.01112**,0.001,-0.00363,-0.00796,-0.02324,-0.00326,0.02196,-0.0188,0.03257,0.00676,-0.01104,0.00289
2020-02-12,-0.0001,0.00057,-0.0***,1.49341***,0.00915,0.01425**,0.16475,0.00765,0.00884,0.00065,0.19394,0.55873**,0.89512***,0.81249**,-0.00149***,4e-05***,5e-05,-0.0109**,0.00114,-0.00348,-0.00794,-0.02309,-0.00402,0.02269,-0.01878,0.03136,0.00524,-0.01057,0.00297
