,Intercept,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
2020-02-03,-0.00016,0.00145**,0.0,-0.24602,0.00278,0.0007,-0.10428,0.00387,-0.01934**,-0.00029,0.0385,0.05224,0.05495,0.05299,-7e-05,0.0,0.0,0.00075,-0.00569,-0.0058,-0.00456,0.03499,-0.03248,0.0413***,-0.00899,-0.00646,-0.02488,0.00011,0.00433
2020-02-04,-0.00018,0.0013,-0.0,-0.40494,0.00193,0.00102,0.09151,0.00631,-0.01882,-0.00061,-0.01556,0.01492,0.03513,0.0578,-0.00036,1e-05,4e-05*,-0.00056,-0.00661,-0.00542,-0.00547,0.05249,-0.00184,0.04802**,-0.04635*,-0.01811,0.0011,-0.00139,0.00426
2020-02-05,-0.00036,0.00225**,-0.0,-0.89086*,0.0082*,0.0082*,0.24606*,0.00333,-0.01897,0.0,-0.07426,0.11588,0.15029,0.09648,-0.00035,1e-05,-2e-05,0.00947**,-0.01159,-0.01131,-0.01322*,0.06401,-0.02538,0.07437**,-0.04935,0.01689,0.01773,-0.0004,0.00712
2020-02-06,-0.00033,0.00263**,-0.0,-0.38758,0.00566,0.00699,0.23785,0.00388,-0.00668,-0.00025,-0.19032,0.14788,0.10339,0.05102,-0.00037,1e-05,0.0,0.01054**,-0.01081,-0.00886,-0.0129,0.05594,-0.01088,0.06969**,-0.05914,-0.02063,0.00017,0.00172,0.00694
2020-02-07,-0.00031,0.003***,-0.0,-0.58385,0.00569,0.00721,0.17072,0.00284,-0.00815,-0.00019,-0.16407,0.16999,0.12067,0.06121,-0.00047,1e-05,-2e-05,0.01092***,-0.01029,-0.0087,-0.01229,0.0693,-0.01516,0.07373**,-0.05888,-0.0254,-0.00254,0.00199,0.00627
2020-02-08,-0.00038,0.00268***,0.0,-0.38435,0.00725,0.00739,0.09396,0.00545,-0.00439,0.00011,-0.12144,0.21447,0.16541,0.07659,-0.00045,0.0,0.0,0.00828**,-0.0112,-0.01236,-0.01437*,0.0595,-0.02156,0.07203**,-0.05085,-0.02022,-0.02465,0.00296,0.00596
2020-02-09,-0.00038,0.00244***,0.0,-0.31339,0.00912*,0.00851,0.10518,0.00122,-0.00081,2e-05,-0.11628,0.2283,0.16673,0.06144,-0.00048,0.0,1e-05,0.00792*,-0.01088,-0.01263,-0.01414*,0.07411,-0.02817,0.07014**,-0.04234,-0.02579,-0.01062,0.00475,0.00653
2020-02-10,-0.00037,0.00235***,0.0,-0.30548,0.00915*,0.00855,0.10589,0.00091,-0.00071,2e-05,-0.1147,0.22893,0.1676,0.0622,-0.00049,0.0,1e-05,0.00787*,-0.01076,-0.01254,-0.01403*,0.0743,-0.0281,0.07025**,-0.04252,-0.02604,-0.01091,0.00477,0.0066
2020-02-11,-0.00037,0.00231***,0.0,-0.28576,0.00916*,0.00855,0.10374,0.00055,-0.0005,4e-05,-0.11728,0.22768,0.16716,0.06173,-0.00049,0.0,1e-05,0.00789*,-0.01064,-0.01244,-0.01391*,0.0738,-0.0277,0.06977**,-0.04245,-0.02545,-0.01129,0.00483,0.00673
2020-02-12,-0.00037,0.00225***,0.0,-0.24559,0.00917*,0.00854,0.10815,0.00021,-0.00046,7e-05,-0.12211,0.22478,0.16525,0.06006,-0.00049,0.0,1e-05,0.00785*,-0.01056,-0.01238,-0.0138*,0.07363,-0.02764,0.06924**,-0.04197,-0.02475,-0.01074,0.00493,0.0069
2020-02-13,-0.00055**,0.0022***,0.0,-0.29834,0.01265**,0.01228**,0.02484,0.00352,-0.00404,4e-05,0.01823,0.35377*,0.35299*,0.15002,-0.00058,0.0,1e-05,0.00826*,-0.01422,-0.02095**,-0.01995**,0.00864,-0.0328,0.05303,-0.02078,0.08228,0.00169,-0.00098,0.01524
2020-02-14,-0.00055**,0.00221***,0.0,-0.30565,0.01267**,0.01233**,0.02725,0.00347,-0.00384,5e-05,0.01923,0.3548*,0.35445*,0.15147,-0.00058,0.0,1e-05,0.00832*,-0.01422,-0.02095**,-0.01997**,0.00886,-0.03288,0.05334,-0.02101,0.08189,0.00092,-0.001,0.01524
2020-02-15,-0.00055**,0.00216***,0.0,-0.29856,0.01267**,0.01235**,0.02917,0.00342,-0.00379,4e-05,0.01982,0.35434*,0.35393*,0.15107,-0.00059,0.0,1e-05,0.00827*,-0.0142,-0.02093**,-0.01996**,0.00891,-0.03253,0.05323,-0.02125,0.08173,0.00095,-0.00092,0.0152
2020-02-16,-0.00055**,0.00216***,0.0,-0.30423,0.01269**,0.01238**,0.02772,0.00327,-0.00375,4e-05,0.0209,0.35526*,0.35449*,0.15165,-0.00059,0.0,1e-05,0.00832*,-0.01414,-0.02088**,-0.01992**,0.00836,-0.03251,0.05307,-0.02111,0.08122,0.00046,-0.00094,0.01528
2020-02-17,-0.00055**,0.00215***,0.0,-0.30447,0.0127**,0.01238**,0.02641,0.00326,-0.0038,4e-05,0.02206,0.35557*,0.35462*,0.15183,-0.00059,0.0,1e-05,0.00832*,-0.01414,-0.02089**,-0.01992**,0.00826,-0.03265,0.05317,-0.02107,0.0808,0.00048,-0.00093,0.01529
