Rank,Country,Score,Electoral processand pluralism,Functio­ning ofgovern­ment,Politicalpartici­pation,Politicalculture,Civilliberties,Regimetype,Region[n 1],Changes fromlast year
1,Norway,9.87,10,9.64,10,10,9.71,Full democracy,Western Europe,Score: Rank:
2,Iceland,9.58,10,9.29,8.89,10,9.71,Full democracy,Western Europe,Score: Rank:
3,Sweden,9.39,9.58,9.64,8.33,10,9.41,Full democracy,Western Europe,Score: Rank:
4,New Zealand,9.26,10,9.29,8.89,8.13,10,Full democracy,Asia & Australasia,Score: Rank:
5,Finland,9.25,10,8.93,8.89,8.75,9.71,Full democracy,Western Europe,Score:  0.11Rank:  3
6,Ireland,9.24,10,7.86,8.33,10,10,Full democracy,Western Europe,Score:  0.09Rank:
7,Denmark,9.22,10,9.29,8.33,9.38,9.12,Full democracy,Western Europe,Score: Rank:  2
7,Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,North America,Score:  0.07Rank:  1
9,Australia,9.09,10,8.93,7.78,8.75,10,Full democracy,Asia & Australasia,Score: Rank:
10,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,Western Europe,Score: Rank:
11,Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy,Western Europe,Score:  0.12Rank:
12,Luxembourg,8.81,10,8.93,6.67,8.75,9.71,Full democracy,Western Europe,Score: Rank:
13,Germany,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,Western Europe,Score: Rank:
14,United Kingdom,8.52,9.58,7.5,8.89,7.5,9.12,Full democracy,Western Europe,Score:  0.01Rank:
15,Uruguay,8.38,10,8.57,6.11,7.5,9.71,Full democracy,Latin America,Score: Rank:
16,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,Western Europe,Score: Rank:
16,Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy,Western Europe,Score:  0.11Rank:  3
18,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy,Sub-Saharan Africa,Score: Rank:  1
19,Costa Rica,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,Latin America,Score:  0.06Rank:  1
20,France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe,Score:  0.32Rank:  9
21,Chile,8.08,9.58,8.57,5,8.13,9.12,Full democracy,Latin America,Score:  0.11Rank:  2
22,Portugal,8.03,9.58,7.86,6.11,7.5,9.12,Full democracy,Western Europe,Score:  0.19Rank:  5
23,South Korea[n 2],8,9.17,7.86,7.22,7.5,8.24,Flawed democracy,Asia & Australasia,Score: Rank:  2
24,Japan,7.99,8.75,8.21,6.67,7.5,8.82,Flawed democracy,Asia & Australasia,Score: Rank:  2
25,United States,7.96,9.17,7.14,7.78,7.5,8.24,Flawed democracy,North America,Score: Rank:
26,Malta,7.95,9.17,7.5,6.11,8.13,8.82,Flawed democracy,Western Europe,Score:  0.26Rank:  8
27,Estonia,7.9,9.58,7.86,6.67,6.88,8.53,Flawed democracy,Eastern Europe,Score:  0.07Rank:  4
28,Israel,7.86,9.17,7.86,8.89,7.5,5.88,Flawed democracy,Middle East & North Africa,Score:  0.07Rank:  2
29,Botswana,7.81,9.17,7.14,6.11,7.5,9.12,Flawed democracy,Sub-Saharan Africa,Score: Rank:  1
30,Cape Verde,7.78,9.17,7.36,6.67,6.88,8.82,Flawed democracy,Sub-Saharan Africa,Score:  0.1Rank:  4
31,Taiwan,7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy,Asia & Australasia,Score: Rank:  1
32,Czech Republic,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy,Eastern Europe,Score: Rank:  2
33,Belgium,7.64,9.58,8.21,5,6.88,8.53,Flawed democracy,Western Europe,Score:  0.14Rank:  2
34,Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy,Western Europe,Score: Rank:  1
35,Italy,7.52,9.58,6.07,7.78,6.25,7.94,Flawed democracy,Western Europe,Score:  0.19Rank:  2
36,Slovenia,7.5,9.58,6.79,6.67,6.25,8.24,Flawed democracy,Eastern Europe,Score: Rank:
36,Lithuania,7.5,9.58,6.43,6.11,6.25,9.12,Flawed democracy,Eastern Europe,Score: Rank:
38,Latvia,7.49,9.58,6.07,6.11,6.88,8.82,Flawed democracy,Eastern Europe,Score:  0.11Rank:
39,Greece,7.43,9.58,4.86,6.67,7.5,8.53,Flawed democracy,Western Europe,Score:  0.14Rank:
40,South Africa,7.24,7.42,7.5,8.33,5,7.94,Flawed democracy,Sub-Saharan Africa,Score: Rank:
41,Timor-Leste,7.19,9.58,6.29,5.56,6.88,7.65,Flawed democracy,Asia & Australasia,Score: Rank:  1
42,Slovakia,7.17,9.58,7.14,5.56,5.63,7.94,Flawed democracy,Eastern Europe,Score:  0.07Rank:  2
