Rank,Nation,Urban Population (%),Date,Urbanization Rate (%),Period
1,Kuwait,100,2020,1.78,2015-20 est.
1,Monaco,100,2020,0.51,2015-20 est.
1,Nauru,100,2020,-0.06,2015-20 est.
1,Singapore,100,2020,1.39,2015-20 est.
1,Vatican City,100,2020,-0.05,2015-20 est.
-,Anguilla (UK),100,2020,0.9,2015-20 est.
-,Bermuda (UK),100,2020,-0.44,2015-20 est.
-,Cayman Islands (UK),100,2020,1.27,2015-20 est.
-,Gibraltar (UK),100,2020,0.45,2015-20 est.
-,Hong Kong (China),100,2020,0.82,2015-20 est.
-,Macau (China),100,2020,1.63,2015-20 est.
-,Sint Maarten (Netherlands),100,2020,1.56,2015-20 est.
6,Qatar,99.2,2020,2.41,2015-20 est.
7,Belgium,98.1,2020,0.62,2015-20 est.
8,San Marino,97.5,2020,0.67,2015-20 est.
-,U.S. Virgin Islands (US),95.9,2020,0.1,2015-20 est.
9,Uruguay,95.5,2020,0.46,2015-20 est.
-,Guam (US),94.9,2020,0.92,2015-20 est.
10,Malta,94.7,2020,0.38,2015-20 est.
11,Iceland,93.9,2020,0.81,2015-20 est.
-,Puerto Rico (US),93.6,2020,-0.14,2015-20 est.
-,Turks and Caicos Islands (UK),93.6,2020,1.77,2015-20 est.
12,Israel,92.6,2020,1.64,2015-20 est.
13,Netherlands,92.2,2020,0.74,2015-20 est.
14,Argentina,92.1,2020,1.07,2015-20 est.
-,Northern Mariana Islands (US),91.8,2020,0.29,2015-20 est.
15,Japan,91.8,2020,-0.14,2015-20 est.
16,Luxembourg,91.5,2020,1.55,2015-20 est.
17,Jordan,91.4,2020,2.43,2015-20 est.
-,Saint Pierre and Miquelon (France),90,2020,0.36,2015-20 est.
18,Gabon,90.1,2020,2.61,2015-20 est.
19,Bahrain,89.5,2020,4.38,2015-20 est.
-,Curaçao (Netherlands),89.1,2020/2018,0.62,2015-20 est.
20,Lebanon,88.9,2020,0.75,2015-20 est.
21,Venezuela,88.3,2020,1.28,2015-20 est.
22,Denmark,88.1,2020,0.51,2015-20 est.
23,Sweden,88,2020,1.05,2015-20 est.
24,Andorra,87.9,2020,-0.31,2015-20 est.
25,Chile,87.7,2020,0.87,2015-20 est.
-,American Samoa (US),87.2,2020,0.07,2015-20 est.
-,Greenland (Denmark),87.3,2020,0.42,2015-20 est.
-,Western Sahara,86.8,2020,2.61,2015-20 est.
26,Brazil,87.1,2020,1.05,2015-20 est.
27,United Arab Emirates,87,2020,1.71,2015-20 est.
28,New Zealand,86.7,2020,1.01,2015-20 est.
29,Oman,86.3,2020,5.25,2015-20 est.
30,Australia,86.2,2020,1.43,2015-20 est.
31,Finland,85.5,2020,0.42,2015-20 est.
32,Saudi Arabia,84.3,2020,2.17,2015-20 est.
33,United Kingdom,83.9,2020,0.89,2015-20 est.
34,Bahamas,83.2,2020,1.13,2015-20 est.
35,Norway,83,2020,1.4,2015-20 est.
36,United States,82.7,2020,0.95,2015-20 est.
37,Dominican Republic,82.5,2020,2.06,2015-20 est.
38,Canada,81.6,2020,0.97,2015-20 est.
39,South Korea,81.4,2020,0.3,2015-20 est.
39,Colombia,81.4,2020,1.22,2015-20 est.
41,France,81,2020,0.72,2015-20 est.
41,Palau,81,2020,1.77,2015-20 est.
43,Spain,80.8,2020,0.33,2015-20 est.
43,Costa Rica,80.8,2020,1.5,2015-20 est.
44,Mexico,80.7,2020,1.59,2015-20 est.
44,Libya,80.7,2020,1.68,2015-20 est.
47,Greece,79.7,2020,0.22,2015-20 est.
48,Belarus,79.5,2020,0.44,2015-20 est.
-,Taiwan,78.9,2020,0.8,2015-20 est.
49,Peru,78.3,2020,1.44,2015-20 est.
49,Brunei,78.3,2020,1.66,2015-20 est.
51,Djibouti,78.1,2020,1.67,2015-20 est.
-,Falkland Islands (UK),78.5,2020,0.76,2015-20 est.
52,Marshall Islands,77.8,2020,0.61,2015-20 est.
53,Germany,77.5,2020,0.27,2015-20 est.
54,Cuba,77.2,2020,0.14,2015-20 est.
54,Malaysia,77.2,2020,2.13,2015-20 est.
-,Palestine,76.7,2020,3,2015-20 est.
56,Turkey,76.1,2020,2.04,2015-20 est.
-,Cook Islands (New Zealand),75.5,2020,0.37,2015-20 est.
57,Iran,75.9,2020,1.71,2015-20 est.
58,Bulgaria,75.7,2020,-0.22,2015-20 est.
59,Russia,74.8,2020,0.18,2015-20 est.
60,São Tomé and Príncipe,74.4,2020,3.33,2015-20 est.
61,Czech Republic,74.1,2020,0.21,2015-20 est.
62,Switzerland,73.9,2020,0.88,2015-20 est.
63,Algeria,73.7,2020,2.46,2015-20 est.
64,El Salvador,73.4,2020,1.57,2015-20 est.
65,Equatorial Guinea,73.1,2020,4.28,2015-20 est.
66,Hungary,71.9,2020,0.07,2015-20 est.
-,New Caledonia (France),71.5,2020,1.89,2015-20 est.
67,Dominica,71.1,2020,0.94,2015-20 est.
68,Italy,71,2020,0.29,2015-20 est.
69,Iraq,70.9,2020,3.06,2015-20 est.
69,Botswana,70.9,2020,2.87,2015-20 est.
71,Bolivia,70.1,2020,1.97,2015-20 est.
72,Ukraine,69.6,2020,-0.33,2015-20 est.
72,Tunisia,69.6,2020,1.53,2015-20 est.
74,Estonia,69.2,2020,0.01,2015-20 est.
75,Mongolia,68.7,2020,1.63,2015-20 est.
76,Panama,68.4,2020,2.06,2015-20 est.
77,Latvia,68.3,2020,-0.93,2015-20 est.
78,Lithuania,68,2020,-0.31,2015-20 est.
79,Congo,67.8,2020,3.28,2015-20 est.
80,Montenegro,67.5,2020,0.54,2015-20 est.
81,South Africa,67.4,2020,1.97,2015-20 est.
82,Cyprus,66.8,2020,0.75,2015-20 est.
82,Angola,66.8,2020,4.32,2015-20 est.
84,Cape Verde,66.7,2020,1.97,2015-20 est.
85,Portugal,66.3,2020,0.47,2015-20 est.
86,Suriname,66.1,2020,0.9,2015-20 est.
87,Ecuador,64.2,2020,1.66,2015-20 est.
88,Tuvalu,64,2020,2.27,2015-20 est.
89,Ireland,63.7,2020,1.14,2015-20 est.
90,Morocco,63.5,2020,2.14,2015-20 est.
91,Armenia,63.3,2020,0.22,2015-20 est.
