y,t,g,Q
0,0,0.2834005370327513,0.35024349808881017
0,0,0.4923134026300234,0.41676574476893413
0,0,0.3714430707945075,0.35306000307488394
0,1,0.2831417172409748,0.3327593476081715
1,1,0.3637827493612489,0.7431068967830535
0,0,0.15501131369748106,0.415415488195283
0,0,0.4317907897545382,0.35223237095867616
1,0,0.12088907015244488,0.4645272828961476
0,0,0.43555654974696456,0.23413530445509007
1,0,0.18638118459319752,0.3605477450527393
0,1,0.33246290273257745,0.4069195004974328
1,0,0.3686211540106012,0.2823280824202247
0,0,0.35460861807239763,0.31698267361119964
0,0,0.4104788080624524,0.2705847503150857
1,0,0.43307969429983867,0.19105763125752293
0,1,0.303327450290485,0.3394327615214077
0,0,0.3044844855376599,0.4129814652420872
0,1,0.36644888311883866,0.34604410994611357
1,0,0.31289171750699557,0.6253667672604638
0,1,0.4453428939424218,0.49059309036701043
1,0,0.49707933227387746,0.1916639154983095
0,1,0.10660244343764338,0.3571780025165802
1,0,0.36669693462382574,0.30220336772365514
1,1,0.33990034697553945,0.34140203907069744
0,1,0.3395422661753609,0.37674898539234214
1,1,0.38473445592366956,0.6199971788353259
0,0,0.37951433429217535,0.31020185679984275
1,1,0.4630564708392237,0.37805445451257275
0,0,0.31150464415630363,0.3451549508799458
0,1,0.23448304043014798,0.4211721384583238
0,1,0.29547135157299176,0.3930705681316204
0,1,0.19171414271326406,0.37199372216915455
0,1,0.2748676795700234,0.3791168279794126
0,0,0.21880173065863662,0.2087610981670583
0,1,0.40489767165509155,0.4401840486572501
0,1,0.19017510282072492,0.39451783664856366
0,1,0.3627938882335517,0.34378848559112646
1,1,0.1800726501114698,0.6805535572802108
1,0,0.16346972213583236,0.46791107133010884
1,1,0.39235152406015206,0.672915985766568
0,0,0.1650687735721261,0.4245412101474509
1,0,0.46909413731156185,0.377713587444435
1,0,0.17150385530511605,0.6907285646124365
1,1,0.12865041274252545,0.5904877680417494
1,1,0.36832229352090784,0.35008888742281796
0,0,0.28934523804169665,0.34666221611730746
0,0,0.33826012275119904,0.37216856903350276
1,1,0.3634422361777267,0.33301017475199907
0,0,0.4424665565672348,0.37120143168235004
1,0,0.37344798845593374,0.4342363706340043
0,0,0.41565411722514456,0.32477713354329973
1,0,0.3994555286591375,0.29897767056400854
1,1,0.28305744060601795,0.4233187961040956
1,0,0.38976473635146136,0.4482111723950667
1,0,0.25627908010602213,0.449839464439926
0,1,0.3902165720258099,0.5038957831375424
1,0,0.31595142812853805,0.36771528741609716
1,0,0.21109108479577848,0.4297444804749911
0,0,0.3914790592563404,0.34560919825828823
0,0,0.3729884234999466,0.3474851303412362
0,1,0.23451407284569395,0.374547538189542
1,0,0.2202111571953119,0.3969900646326245
0,0,0.23515480709824285,0.336255429505092
0,1,0.3806189789389826,0.3211687179955756
1,0,0.163103789051475,0.36445550772345386
0,0,0.1561627046881445,0.395550737584971
0,0,0.4309946303008566,0.49561364527292956
0,0,0.3836400619494001,0.3868586048304125
1,0,0.1824429716923707,0.3665849519808978
0,1,0.41929812038011427,0.5040741450986419
0,1,0.4323158762248811,0.3380546662700445
0,1,0.29616947735711346,0.4822723759133801
0,0,0.39290065271428926,0.2960584496439443
0,0,0.40849077982837734,0.4230197300254758
0,1,0.3228782051939018,0.4050704246251046
1,0,0.43153117404402647,0.47643530464508754
0,0,0.21108985932583782,0.36912760545145595
0,0,0.3646100587810282,0.3422294071994423
1,1,0.45683837589502335,0.4189441048149619
0,0,0.19640751979627882,0.3672944869292322
0,0,0.35785904658090384,0.5744489982742444
0,0,0.3457379347979343,0.3977837416284767
0,0,0.3953722356945198,0.388106209528812
0,0,0.16794095743940485,0.3796616844665597
0,0,0.2982411576787281,0.5023703653589423
0,0,0.3718945778864786,0.37671160247729996
1,0,0.33596645717036333,0.4223763406000412
0,1,0.34309764832825146,0.3290720990417832
0,0,0.3825386025733254,0.4317863338087865
0,0,0.2250901969556665,0.2764368604204077
0,1,0.3395867035330573,0.34580430271086
1,1,0.3175024414497857,0.4295210344215109
0,1,0.34281652053170714,0.34513132815109226
1,0,0.36217747134949907,0.4140309445918415
0,0,0.4622148000989938,0.4492926006634178
0,1,0.41738732248085597,0.2243720990625008
0,0,0.44651096587763645,0.2455164871524046
1,0,0.24081868919054825,0.4940608573681426
1,0,0.2989984943565665,0.40985801328540483
0,0,0.3134466076347072,0.43431263075535
1,1,0.3938012168019032,0.2713425773314176
0,1,0.49545029702469495,0.4642960295997489
